CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
781            822            685            584            590            584            
714            882            641            -              655            779            
724            772            692            -              631            804            
752            792            651            -              739            -              
744            798            534            -              711            -              
784            787            552            -              -              -              
672            805            629            -              -              -              
701            774            621            -              -              -              
694            806            569            -              -              -              
658            788            633            -              -              -              
485            776            735            -              -              -              
722            747            637            -              -              -              
711            786            630            -              -              -              
544            794            653            -              -              -              
626            758            596            -              -              -              
720            792            696            -              -              -              
539            809            517            -              -              -              
784            783            719            -              -              -              
646            767            651            -              -              -              
621            717            706            -              -              -              
588            800            589            -              -              -              
674            822            581            -              -              -              
574            825            596            -              -              -              
619            763            694            -              -              -              
631            860            673            -              -              -              
579            762            706            -              -              -              
598            854            689            -              -              -              
611            864            613            -              -              -              
659            867            711            -              -              -              
584            858            721            -              -              -              
598            685            713            -              -              -              
669            800            739            -              -              -              
615            789            749            -              -              -              
555            839            683            -              -              -              
685            869            685            -              -              -              
743            716            709            -              -              -              
678            774            664            -              -              -              
538            795            689            -              -              -              
514            868            653            -              -              -              
659            884            666            -              -              -              
496            772            701            -              -              -              
513            758            693            -              -              -              
505            836            706            -              -              -              
686            912            578            -              -              -              
437            665            740            -              -              -              
438            703            682            -              -              -              
439            689            679            -              -              -              
466            690            690            -              -              -              
641            537            723            -              -              -              
649            725            709            -              -              -              
666            799            749            -              -              -              
655            881            683            -              -              -              
643            761            742            -              -              -              
646            774            653            -              -              -              
575            789            709            -              -              -              
687            641            666            -              -              -              
660            845            654            -              -              -              
724            834            621            -              -              -              
715            852            670            -              -              -              
691            771            572            -              -              -              
631            852            658            -              -              -              
687            883            -              -              -              -              
624            762            -              -              -              -              
788            773            -              -              -              -              
762            744            -              -              -              -              
719            698            -              -              -              -              
646            714            -              -              -              -              
654            728            -              -              -              -              
855            735            -              -              -              -              
764            653            -              -              -              -              
773            789            -              -              -              -              
727            746            -              -              -              -              
714            823            -              -              -              -              
764            825            -              -              -              -              
669            748            -              -              -              -              
693            714            -              -              -              -              
746            -              -              -              -              -              
689            -              -              -              -              -              
576            -              -              -              -              -              
719            -              -              -              -              -              
606            -              -              -              -              -              
712            -              -              -              -              -              
653            -              -              -              -              -              
500            -              -              -              -              -              
757            -              -              -              -              -              
712            -              -              -              -              -              
534            -              -              -              -              -              
739            -              -              -              -              -              
391            -              -              -              -              -              
665            -              -              -              -              -              
701            -              -              -              -              -              
726            -              -              -              -              -              
675            -              -              -              -              -              
420            -              -              -              -              -              
683            -              -              -              -              -              
826            -              -              -              -              -              
756            -              -              -              -              -              
643            -              -              -              -              -              
412            -              -              -              -              -              
733            -              -              -              -              -              
660            -              -              -              -              -              
723            -              -              -              -              -              
755            -              -              -              -              -              
663            -              -              -              -              -              
642            -              -              -              -              -              
670            -              -              -              -              -              
808            -              -              -              -              -              
815            -              -              -              -              -              
785            -              -              -              -              -              
801            -              -              -              -              -              
753            -              -              -              -              -              
737            -              -              -              -              -              
773            -              -              -              -              -              
801            -              -              -              -              -              
724            -              -              -              -              -              
725            -              -              -              -              -              
749            -              -              -              -              -              
659            -              -              -              -              -              
582            -              -              -              -              -              
607            -              -              -              -              -              
676            -              -              -              -              -              
677            -              -              -              -              -              
641            -              -              -              -              -              
-              
