CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
170            249            172            134            106            132            
160            266            157            -              123            195            
157            251            169            -              117            197            
161            261            166            -              142            -              
175            255            36             -              137            -              
169            252            117            -              -              -              
138            246            142            -              -              -              
157            255            142            -              -              -              
146            263            131            -              -              -              
134            257            139            -              -              -              
126            253            174            -              -              -              
165            228            139            -              -              -              
150            251            140            -              -              -              
142            255            126            -              -              -              
153            216            129            -              -              -              
171            256            157            -              -              -              
141            230            110            -              -              -              
159            256            184            -              -              -              
150            248            139            -              -              -              
143            197            166            -              -              -              
132            238            124            -              -              -              
135            253            124            -              -              -              
146            248            130            -              -              -              
148            245            185            -              -              -              
150            259            174            -              -              -              
132            251            186            -              -              -              
132            262            163            -              -              -              
164            256            150            -              -              -              
163            265            177            -              -              -              
145            262            177            -              -              -              
150            189            185            -              -              -              
154            251            180            -              -              -              
99             255            190            -              -              -              
131            246            162            -              -              -              
144            259            163            -              -              -              
165            227            175            -              -              -              
127            254            165            -              -              -              
109            254            171            -              -              -              
109            269            160            -              -              -              
149            265            163            -              -              -              
115            252            157            -              -              -              
102            235            170            -              -              -              
106            255            173            -              -              -              
174            284            52             -              -              -              
107            215            178            -              -              -              
99             243            164            -              -              -              
94             198            172            -              -              -              
102            183            176            -              -              -              
142            135            178            -              -              -              
146            178            181            -              -              -              
152            243            188            -              -              -              
133            259            155            -              -              -              
164            220            195            -              -              -              
168            240            163            -              -              -              
154            238            173            -              -              -              
189            202            182            -              -              -              
194            243            156            -              -              -              
151            251            197            -              -              -              
176            260            170            -              -              -              
189            227            146            -              -              -              
159            260            148            -              -              -              
221            261            -              -              -              -              
136            246            -              -              -              -              
185            226            -              -              -              -              
189            226            -              -              -              -              
165            192            -              -              -              -              
155            235            -              -              -              -              
183            227            -              -              -              -              
190            227            -              -              -              -              
199            188            -              -              -              -              
155            237            -              -              -              -              
177            233            -              -              -              -              
193            255            -              -              -              -              
158            260            -              -              -              -              
174            227            -              -              -              -              
169            173            -              -              -              -              
152            -              -              -              -              -              
162            -              -              -              -              -              
193            -              -              -              -              -              
153            -              -              -              -              -              
178            -              -              -              -              -              
161            -              -              -              -              -              
138            -              -              -              -              -              
146            -              -              -              -              -              
167            -              -              -              -              -              
146            -              -              -              -              -              
148            -              -              -              -              -              
159            -              -              -              -              -              
109            -              -              -              -              -              
150            -              -              -              -              -              
162            -              -              -              -              -              
155            -              -              -              -              -              
148            -              -              -              -              -              
104            -              -              -              -              -              
161            -              -              -              -              -              
186            -              -              -              -              -              
149            -              -              -              -              -              
118            -              -              -              -              -              
102            -              -              -              -              -              
177            -              -              -              -              -              
155            -              -              -              -              -              
159            -              -              -              -              -              
151            -              -              -              -              -              
136            -              -              -              -              -              
184            -              -              -              -              -              
143            -              -              -              -              -              
186            -              -              -              -              -              
186            -              -              -              -              -              
179            -              -              -              -              -              
182            -              -              -              -              -              
162            -              -              -              -              -              
165            -              -              -              -              -              
165            -              -              -              -              -              
179            -              -              -              -              -              
153            -              -              -              -              -              
165            -              -              -              -              -              
155            -              -              -              -              -              
161            -              -              -              -              -              
130            -              -              -              -              -              
135            -              -              -              -              -              
137            -              -              -              -              -              
148            -              -              -              -              -              
135            -              -              -              -              -              
-              
