CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
232            238            237            238            176            205            
260            218            220            -              231            182            
254            227            238            -              223            221            
258            225            210            -              311            -              
248            227            319            -              312            -              
273            213            184            -              -              -              
270            228            174            -              -              -              
237            205            197            -              -              -              
275            212            185            -              -              -              
264            220            198            -              -              -              
181            216            208            -              -              -              
246            217            205            -              -              -              
243            211            197            -              -              -              
237            224            209            -              -              -              
233            195            180            -              -              -              
248            209            185            -              -              -              
232            251            180            -              -              -              
287            212            195            -              -              -              
259            215            192            -              -              -              
229            196            185            -              -              -              
224            204            218            -              -              -              
237            212            201            -              -              -              
212            220            204            -              -              -              
232            217            218            -              -              -              
227            259            172            -              -              -              
234            203            192            -              -              -              
217            249            200            -              -              -              
241            252            188            -              -              -              
245            239            184            -              -              -              
255            256            190            -              -              -              
253            182            191            -              -              -              
257            228            188            -              -              -              
199            230            198            -              -              -              
201            241            190            -              -              -              
258            267            185            -              -              -              
269            248            209            -              -              -              
179            205            189            -              -              -              
137            221            179            -              -              -              
128            240            192            -              -              -              
237            252            196            -              -              -              
158            229            193            -              -              -              
140            206            179            -              -              -              
145            239            203            -              -              -              
206            251            185            -              -              -              
124            177            208            -              -              -              
139            182            169            -              -              -              
120            207            204            -              -              -              
106            195            204            -              -              -              
261            184            214            -              -              -              
263            176            215            -              -              -              
269            223            200            -              -              -              
213            229            217            -              -              -              
196            209            199            -              -              -              
222            208            207            -              -              -              
201            231            189            -              -              -              
222            188            198            -              -              -              
219            219            196            -              -              -              
247            209            181            -              -              -              
223            259            178            -              -              -              
210            244            205            -              -              -              
221            260            207            -              -              -              
261            240            -              -              -              -              
233            224            -              -              -              -              
243            217            -              -              -              -              
231            214            -              -              -              -              
203            209            -              -              -              -              
276            193            -              -              -              -              
198            225            -              -              -              -              
249            220            -              -              -              -              
267            209            -              -              -              -              
228            230            -              -              -              -              
218            217            -              -              -              -              
224            211            -              -              -              -              
235            213            -              -              -              -              
195            201            -              -              -              -              
205            214            -              -              -              -              
226            -              -              -              -              -              
255            -              -              -              -              -              
174            -              -              -              -              -              
218            -              -              -              -              -              
158            -              -              -              -              -              
182            -              -              -              -              -              
216            -              -              -              -              -              
143            -              -              -              -              -              
223            -              -              -              -              -              
204            -              -              -              -              -              
185            -              -              -              -              -              
255            -              -              -              -              -              
160            -              -              -              -              -              
218            -              -              -              -              -              
227            -              -              -              -              -              
222            -              -              -              -              -              
224            -              -              -              -              -              
202            -              -              -              -              -              
238            -              -              -              -              -              
240            -              -              -              -              -              
250            -              -              -              -              -              
169            -              -              -              -              -              
169            -              -              -              -              -              
237            -              -              -              -              -              
222            -              -              -              -              -              
235            -              -              -              -              -              
179            -              -              -              -              -              
227            -              -              -              -              -              
189            -              -              -              -              -              
188            -              -              -              -              -              
243            -              -              -              -              -              
222            -              -              -              -              -              
243            -              -              -              -              -              
228            -              -              -              -              -              
206            -              -              -              -              -              
219            -              -              -              -              -              
222            -              -              -              -              -              
244            -              -              -              -              -              
231            -              -              -              -              -              
233            -              -              -              -              -              
238            -              -              -              -              -              
243            -              -              -              -              -              
162            -              -              -              -              -              
173            -              -              -              -              -              
215            -              -              -              -              -              
207            -              -              -              -              -              
198            -              -              -              -              -              
-              
