CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
3047           2989           2630           2762           2703           2673           
2904           3136           2490           -              2747           2778           
2924           2704           2638           -              2642           2985           
2998           2887           2484           -              2957           -              
2948           2903           2443           -              2932           -              
3119           2804           2351           -              -              -              
2933           2883           2312           -              -              -              
2871           2821           2489           -              -              -              
2933           2880           2442           -              -              -              
2857           2879           2529           -              -              -              
2638           2844           2752           -              -              -              
2973           2751           2605           -              -              -              
2863           2816           2535           -              -              -              
2399           2876           2521           -              -              -              
2753           2730           2354           -              -              -              
2869           2817           2448           -              -              -              
2801           2930           2357           -              -              -              
3195           2838           2698           -              -              -              
2799           2817           2420           -              -              -              
2711           2727           2596           -              -              -              
2617           2878           2485           -              -              -              
2671           2949           2386           -              -              -              
2694           2919           2428           -              -              -              
2581           2797           2603           -              -              -              
2730           3050           2336           -              -              -              
2730           2821           2479           -              -              -              
2526           2997           2326           -              -              -              
2802           3014           2178           -              -              -              
2836           3020           2558           -              -              -              
2683           3031           2514           -              -              -              
2812           2591           2502           -              -              -              
2854           2900           2602           -              -              -              
2701           2842           2649           -              -              -              
2613           2982           2380           -              -              -              
2912           3066           2444           -              -              -              
3030           2894           2402           -              -              -              
2820           2825           2278           -              -              -              
2126           2832           2441           -              -              -              
2070           2969           2317           -              -              -              
2719           3068           2421           -              -              -              
2220           2693           2383           -              -              -              
2083           2721           2279           -              -              -              
2093           2972           2318           -              -              -              
2673           3169           2237           -              -              -              
1821           2562           2574           -              -              -              
1782           2681           2340           -              -              -              
1870           2660           2509           -              -              -              
1857           2656           2493           -              -              -              
2837           2268           2600           -              -              -              
2894           2704           2632           -              -              -              
2899           2857           2550           -              -              -              
2497           3100           2513           -              -              -              
2509           2682           2587           -              -              -              
2549           2672           2436           -              -              -              
2394           2707           2460           -              -              -              
2612           2516           2340           -              -              -              
2622           2879           2392           -              -              -              
2616           2840           2328           -              -              -              
2632           2882           2397           -              -              -              
2692           2824           2240           -              -              -              
2468           2885           2521           -              -              -              
2740           2975           -              -              -              -              
2482           2694           -              -              -              -              
2764           2776           -              -              -              -              
2754           2640           -              -              -              -              
2536           2480           -              -              -              -              
2683           2530           -              -              -              -              
2574           2673           -              -              -              -              
3063           2652           -              -              -              -              
2849           2500           -              -              -              -              
2852           2807           -              -              -              -              
2806           2697           -              -              -              -              
2791           2756           -              -              -              -              
2768           2784           -              -              -              -              
2584           2765           -              -              -              -              
2685           2561           -              -              -              -              
2710           -              -              -              -              -              
2790           -              -              -              -              -              
2543           -              -              -              -              -              
2664           -              -              -              -              -              
2392           -              -              -              -              -              
2659           -              -              -              -              -              
2531           -              -              -              -              -              
2337           -              -              -              -              -              
2718           -              -              -              -              -              
2636           -              -              -              -              -              
2132           -              -              -              -              -              
2897           -              -              -              -              -              
2316           -              -              -              -              -              
2672           -              -              -              -              -              
2791           -              -              -              -              -              
2816           -              -              -              -              -              
2719           -              -              -              -              -              
2440           -              -              -              -              -              
2661           -              -              -              -              -              
2913           -              -              -              -              -              
2762           -              -              -              -              -              
2316           -              -              -              -              -              
2337           -              -              -              -              -              
2801           -              -              -              -              -              
2571           -              -              -              -              -              
2796           -              -              -              -              -              
2772           -              -              -              -              -              
2565           -              -              -              -              -              
2653           -              -              -              -              -              
2588           -              -              -              -              -              
3028           -              -              -              -              -              
3008           -              -              -              -              -              
3044           -              -              -              -              -              
2994           -              -              -              -              -              
2812           -              -              -              -              -              
2856           -              -              -              -              -              
2920           -              -              -              -              -              
3018           -              -              -              -              -              
2778           -              -              -              -              -              
2826           -              -              -              -              -              
2893           -              -              -              -              -              
2816           -              -              -              -              -              
2698           -              -              -              -              -              
2779           -              -              -              -              -              
2761           -              -              -              -              -              
2788           -              -              -              -              -              
2609           -              -              -              -              -              
-              
