CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
90             53             78             68             40             50             
74             60             74             -              77             54             
82             66             77             -              65             66             
78             64             69             -              114            -              
80             62             81             -              123            -              
83             60             64             -              -              -              
85             63             66             -              -              -              
81             61             67             -              -              -              
86             61             68             -              -              -              
82             65             69             -              -              -              
66             60             71             -              -              -              
81             57             57             -              -              -              
76             63             63             -              -              -              
58             65             61             -              -              -              
70             37             63             -              -              -              
84             58             54             -              -              -              
69             81             55             -              -              -              
78             62             62             -              -              -              
77             64             55             -              -              -              
78             45             64             -              -              -              
71             49             61             -              -              -              
64             53             69             -              -              -              
63             57             65             -              -              -              
59             58             68             -              -              -              
77             69             47             -              -              -              
65             59             48             -              -              -              
74             66             57             -              -              -              
78             70             53             -              -              -              
67             74             55             -              -              -              
68             70             53             -              -              -              
80             60             60             -              -              -              
71             59             58             -              -              -              
63             57             61             -              -              -              
73             67             62             -              -              -              
88             75             56             -              -              -              
90             78             57             -              -              -              
62             60             56             -              -              -              
44             53             50             -              -              -              
50             67             51             -              -              -              
68             62             53             -              -              -              
51             65             57             -              -              -              
38             55             46             -              -              -              
51             68             53             -              -              -              
66             75             46             -              -              -              
36             50             57             -              -              -              
55             51             55             -              -              -              
54             50             44             -              -              -              
39             49             47             -              -              -              
86             57             47             -              -              -              
97             51             48             -              -              -              
78             62             54             -              -              -              
60             66             49             -              -              -              
53             55             54             -              -              -              
58             62             48             -              -              -              
60             61             47             -              -              -              
64             67             50             -              -              -              
57             65             46             -              -              -              
69             64             34             -              -              -              
67             67             39             -              -              -              
59             66             44             -              -              -              
57             67             62             -              -              -              
63             79             -              -              -              -              
64             64             -              -              -              -              
77             70             -              -              -              -              
72             59             -              -              -              -              
69             73             -              -              -              -              
62             51             -              -              -              -              
60             71             -              -              -              -              
71             57             -              -              -              -              
66             68             -              -              -              -              
71             74             -              -              -              -              
57             67             -              -              -              -              
55             67             -              -              -              -              
71             70             -              -              -              -              
47             61             -              -              -              -              
57             71             -              -              -              -              
66             -              -              -              -              -              
63             -              -              -              -              -              
68             -              -              -              -              -              
70             -              -              -              -              -              
46             -              -              -              -              -              
70             -              -              -              -              -              
63             -              -              -              -              -              
48             -              -              -              -              -              
72             -              -              -              -              -              
62             -              -              -              -              -              
51             -              -              -              -              -              
73             -              -              -              -              -              
51             -              -              -              -              -              
64             -              -              -              -              -              
70             -              -              -              -              -              
71             -              -              -              -              -              
70             -              -              -              -              -              
54             -              -              -              -              -              
70             -              -              -              -              -              
71             -              -              -              -              -              
75             -              -              -              -              -              
57             -              -              -              -              -              
45             -              -              -              -              -              
72             -              -              -              -              -              
47             -              -              -              -              -              
57             -              -              -              -              -              
51             -              -              -              -              -              
52             -              -              -              -              -              
53             -              -              -              -              -              
66             -              -              -              -              -              
69             -              -              -              -              -              
71             -              -              -              -              -              
71             -              -              -              -              -              
70             -              -              -              -              -              
67             -              -              -              -              -              
72             -              -              -              -              -              
72             -              -              -              -              -              
66             -              -              -              -              -              
73             -              -              -              -              -              
66             -              -              -              -              -              
74             -              -              -              -              -              
75             -              -              -              -              -              
45             -              -              -              -              -              
48             -              -              -              -              -              
67             -              -              -              -              -              
72             -              -              -              -              -              
63             -              -              -              -              -              
-              
