CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
54             61             43             54             31             43             
50             56             35             -              52             41             
53             51             33             -              44             45             
62             57             31             -              66             -              
58             59             12             -              67             -              
53             54             27             -              -              -              
41             55             42             -              -              -              
54             53             32             -              -              -              
39             58             32             -              -              -              
37             52             30             -              -              -              
28             53             37             -              -              -              
62             45             30             -              -              -              
53             59             27             -              -              -              
43             56             27             -              -              -              
45             38             28             -              -              -              
60             53             32             -              -              -              
28             52             43             -              -              -              
54             52             32             -              -              -              
41             55             27             -              -              -              
43             35             62             -              -              -              
25             55             35             -              -              -              
44             55             31             -              -              -              
43             53             43             -              -              -              
60             47             33             -              -              -              
39             55             45             -              -              -              
47             57             45             -              -              -              
37             56             44             -              -              -              
57             57             45             -              -              -              
53             64             35             -              -              -              
39             59             31             -              -              -              
52             38             37             -              -              -              
52             63             36             -              -              -              
46             53             48             -              -              -              
40             66             44             -              -              -              
69             59             39             -              -              -              
56             56             36             -              -              -              
50             56             40             -              -              -              
52             48             41             -              -              -              
58             62             38             -              -              -              
51             64             41             -              -              -              
30             64             39             -              -              -              
40             56             45             -              -              -              
47             57             34             -              -              -              
58             54             15             -              -              -              
35             51             47             -              -              -              
48             50             49             -              -              -              
49             37             40             -              -              -              
33             32             44             -              -              -              
41             36             47             -              -              -              
45             35             43             -              -              -              
44             48             46             -              -              -              
25             52             41             -              -              -              
53             59             47             -              -              -              
52             45             39             -              -              -              
48             43             42             -              -              -              
54             48             42             -              -              -              
57             52             37             -              -              -              
38             58             37             -              -              -              
57             52             48             -              -              -              
61             56             34             -              -              -              
57             52             25             -              -              -              
56             68             -              -              -              -              
32             60             -              -              -              -              
58             58             -              -              -              -              
63             53             -              -              -              -              
57             59             -              -              -              -              
50             64             -              -              -              -              
66             72             -              -              -              -              
63             49             -              -              -              -              
65             61             -              -              -              -              
61             52             -              -              -              -              
74             46             -              -              -              -              
73             51             -              -              -              -              
63             50             -              -              -              -              
51             58             -              -              -              -              
51             36             -              -              -              -              
66             -              -              -              -              -              
49             -              -              -              -              -              
68             -              -              -              -              -              
71             -              -              -              -              -              
54             -              -              -              -              -              
78             -              -              -              -              -              
43             -              -              -              -              -              
50             -              -              -              -              -              
75             -              -              -              -              -              
45             -              -              -              -              -              
49             -              -              -              -              -              
60             -              -              -              -              -              
42             -              -              -              -              -              
63             -              -              -              -              -              
57             -              -              -              -              -              
57             -              -              -              -              -              
60             -              -              -              -              -              
43             -              -              -              -              -              
61             -              -              -              -              -              
66             -              -              -              -              -              
66             -              -              -              -              -              
54             -              -              -              -              -              
41             -              -              -              -              -              
66             -              -              -              -              -              
51             -              -              -              -              -              
55             -              -              -              -              -              
54             -              -              -              -              -              
43             -              -              -              -              -              
52             -              -              -              -              -              
53             -              -              -              -              -              
49             -              -              -              -              -              
48             -              -              -              -              -              
44             -              -              -              -              -              
42             -              -              -              -              -              
52             -              -              -              -              -              
46             -              -              -              -              -              
44             -              -              -              -              -              
44             -              -              -              -              -              
42             -              -              -              -              -              
49             -              -              -              -              -              
40             -              -              -              -              -              
46             -              -              -              -              -              
41             -              -              -              -              -              
39             -              -              -              -              -              
42             -              -              -              -              -              
49             -              -              -              -              -              
44             -              -              -              -              -              
-              
