CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
25             13             14             21             13             3              
21             12             14             -              12             16             
26             18             11             -              4              20             
30             12             11             -              18             -              
26             12             12             -              20             -              
24             11             9              -              -              -              
23             11             15             -              -              -              
27             11             12             -              -              -              
21             12             9              -              -              -              
22             10             9              -              -              -              
16             10             9              -              -              -              
31             11             9              -              -              -              
25             12             9              -              -              -              
15             10             9              -              -              -              
19             8              9              -              -              -              
29             12             7              -              -              -              
13             22             6              -              -              -              
24             12             6              -              -              -              
14             12             5              -              -              -              
20             11             12             -              -              -              
14             11             9              -              -              -              
18             12             12             -              -              -              
28             14             10             -              -              -              
20             13             8              -              -              -              
17             15             11             -              -              -              
25             11             9              -              -              -              
18             13             10             -              -              -              
30             15             10             -              -              -              
21             15             11             -              -              -              
21             13             6              -              -              -              
28             13             9              -              -              -              
20             13             9              -              -              -              
20             12             11             -              -              -              
16             12             13             -              -              -              
29             15             11             -              -              -              
27             21             12             -              -              -              
17             12             12             -              -              -              
17             12             8              -              -              -              
20             14             10             -              -              -              
16             10             10             -              -              -              
15             14             12             -              -              -              
10             16             10             -              -              -              
22             12             8              -              -              -              
21             15             3              -              -              -              
9              10             9              -              -              -              
15             7              10             -              -              -              
12             9              6              -              -              -              
11             9              8              -              -              -              
22             7              7              -              -              -              
27             6              9              -              -              -              
21             12             14             -              -              -              
12             13             8              -              -              -              
19             14             13             -              -              -              
22             11             8              -              -              -              
20             9              14             -              -              -              
19             18             10             -              -              -              
18             12             8              -              -              -              
15             13             6              -              -              -              
16             14             8              -              -              -              
16             17             7              -              -              -              
16             14             3              -              -              -              
21             26             -              -              -              -              
17             13             -              -              -              -              
23             18             -              -              -              -              
24             12             -              -              -              -              
24             23             -              -              -              -              
16             9              -              -              -              -              
21             26             -              -              -              -              
15             9              -              -              -              -              
14             24             -              -              -              -              
19             18             -              -              -              -              
17             13             -              -              -              -              
14             16             -              -              -              -              
18             11             -              -              -              -              
13             19             -              -              -              -              
18             16             -              -              -              -              
18             -              -              -              -              -              
19             -              -              -              -              -              
14             -              -              -              -              -              
18             -              -              -              -              -              
13             -              -              -              -              -              
21             -              -              -              -              -              
16             -              -              -              -              -              
14             -              -              -              -              -              
19             -              -              -              -              -              
14             -              -              -              -              -              
9              -              -              -              -              -              
19             -              -              -              -              -              
9              -              -              -              -              -              
20             -              -              -              -              -              
19             -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
8              -              -              -              -              -              
16             -              -              -              -              -              
14             -              -              -              -              -              
20             -              -              -              -              -              
15             -              -              -              -              -              
8              -              -              -              -              -              
19             -              -              -              -              -              
13             -              -              -              -              -              
15             -              -              -              -              -              
11             -              -              -              -              -              
12             -              -              -              -              -              
13             -              -              -              -              -              
16             -              -              -              -              -              
15             -              -              -              -              -              
16             -              -              -              -              -              
15             -              -              -              -              -              
12             -              -              -              -              -              
15             -              -              -              -              -              
16             -              -              -              -              -              
15             -              -              -              -              -              
12             -              -              -              -              -              
13             -              -              -              -              -              
13             -              -              -              -              -              
15             -              -              -              -              -              
14             -              -              -              -              -              
16             -              -              -              -              -              
17             -              -              -              -              -              
12             -              -              -              -              -              
17             -              -              -              -              -              
12             -              -              -              -              -              
-              
