CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
65             40             64             47             27             47             
53             48             60             -              65             38             
56             48             66             -              61             46             
48             52             58             -              96             -              
54             50             69             -              103            -              
59             49             55             -              -              -              
62             52             51             -              -              -              
54             50             55             -              -              -              
65             49             59             -              -              -              
60             55             60             -              -              -              
50             50             62             -              -              -              
50             46             48             -              -              -              
51             51             54             -              -              -              
43             55             52             -              -              -              
51             29             54             -              -              -              
55             46             47             -              -              -              
56             59             49             -              -              -              
54             50             56             -              -              -              
63             52             50             -              -              -              
58             34             52             -              -              -              
57             38             52             -              -              -              
46             41             57             -              -              -              
35             43             55             -              -              -              
39             45             60             -              -              -              
60             54             36             -              -              -              
40             48             39             -              -              -              
56             53             47             -              -              -              
48             55             43             -              -              -              
46             59             44             -              -              -              
47             57             47             -              -              -              
52             47             51             -              -              -              
51             46             49             -              -              -              
43             45             50             -              -              -              
57             55             49             -              -              -              
59             60             45             -              -              -              
63             57             45             -              -              -              
45             48             44             -              -              -              
27             41             42             -              -              -              
30             53             41             -              -              -              
52             52             43             -              -              -              
36             51             45             -              -              -              
28             39             36             -              -              -              
29             56             45             -              -              -              
45             60             43             -              -              -              
27             40             48             -              -              -              
40             44             45             -              -              -              
42             41             38             -              -              -              
28             40             39             -              -              -              
64             50             40             -              -              -              
70             45             39             -              -              -              
57             50             40             -              -              -              
48             53             41             -              -              -              
34             41             41             -              -              -              
36             51             40             -              -              -              
40             52             33             -              -              -              
45             49             40             -              -              -              
39             53             38             -              -              -              
54             51             28             -              -              -              
51             53             31             -              -              -              
43             49             37             -              -              -              
41             53             59             -              -              -              
42             53             -              -              -              -              
47             51             -              -              -              -              
54             52             -              -              -              -              
48             47             -              -              -              -              
45             50             -              -              -              -              
46             42             -              -              -              -              
39             45             -              -              -              -              
56             48             -              -              -              -              
52             44             -              -              -              -              
52             56             -              -              -              -              
40             54             -              -              -              -              
41             51             -              -              -              -              
53             59             -              -              -              -              
34             42             -              -              -              -              
39             55             -              -              -              -              
48             -              -              -              -              -              
44             -              -              -              -              -              
54             -              -              -              -              -              
52             -              -              -              -              -              
33             -              -              -              -              -              
49             -              -              -              -              -              
47             -              -              -              -              -              
34             -              -              -              -              -              
53             -              -              -              -              -              
48             -              -              -              -              -              
42             -              -              -              -              -              
54             -              -              -              -              -              
42             -              -              -              -              -              
44             -              -              -              -              -              
51             -              -              -              -              -              
53             -              -              -              -              -              
52             -              -              -              -              -              
46             -              -              -              -              -              
54             -              -              -              -              -              
57             -              -              -              -              -              
55             -              -              -              -              -              
42             -              -              -              -              -              
37             -              -              -              -              -              
53             -              -              -              -              -              
34             -              -              -              -              -              
42             -              -              -              -              -              
40             -              -              -              -              -              
40             -              -              -              -              -              
40             -              -              -              -              -              
50             -              -              -              -              -              
54             -              -              -              -              -              
55             -              -              -              -              -              
56             -              -              -              -              -              
58             -              -              -              -              -              
52             -              -              -              -              -              
56             -              -              -              -              -              
57             -              -              -              -              -              
54             -              -              -              -              -              
60             -              -              -              -              -              
53             -              -              -              -              -              
59             -              -              -              -              -              
61             -              -              -              -              -              
29             -              -              -              -              -              
31             -              -              -              -              -              
55             -              -              -              -              -              
55             -              -              -              -              -              
51             -              -              -              -              -              
-              
