CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
191            158            168            136            150            125            
176            189            161            -              173            177            
185            149            163            -              166            175            
198            158            168            -              190            -              
191            157            129            -              187            -              
194            159            153            -              -              -              
168            171            168            -              -              -              
185            155            164            -              -              -              
177            161            160            -              -              -              
165            160            162            -              -              -              
96             164            190            -              -              -              
189            158            153            -              -              -              
194            168            141            -              -              -              
140            163            171            -              -              -              
162            165            148            -              -              -              
193            157            200            -              -              -              
121            163            135            -              -              -              
186            156            162            -              -              -              
138            151            189            -              -              -              
153            152            181            -              -              -              
178            177            143            -              -              -              
175            170            144            -              -              -              
109            172            164            -              -              -              
167            173            164            -              -              -              
145            181            182            -              -              -              
123            156            185            -              -              -              
143            181            185            -              -              -              
130            182            173            -              -              -              
174            185            167            -              -              -              
127            182            173            -              -              -              
140            143            166            -              -              -              
141            170            172            -              -              -              
159            167            186            -              -              -              
140            191            156            -              -              -              
157            178            166            -              -              -              
206            125            162            -              -              -              
177            155            156            -              -              -              
151            175            167            -              -              -              
153            190            136            -              -              -              
167            192            155            -              -              -              
96             181            181            -              -              -              
159            180            167            -              -              -              
152            182            148            -              -              -              
153            178            169            -              -              -              
86             132            197            -              -              -              
90             162            177            -              -              -              
127            128            182            -              -              -              
118            157            181            -              -              -              
149            138            188            -              -              -              
174            169            175            -              -              -              
153            180            189            -              -              -              
166            186            187            -              -              -              
123            188            190            -              -              -              
138            172            162            -              -              -              
123            183            186            -              -              -              
140            159            189            -              -              -              
130            184            168            -              -              -              
168            177            152            -              -              -              
154            184            171            -              -              -              
154            167            143            -              -              -              
142            184            145            -              -              -              
127            171            -              -              -              -              
152            165            -              -              -              -              
186            154            -              -              -              -              
176            161            -              -              -              -              
163            158            -              -              -              -              
142            140            -              -              -              -              
152            143            -              -              -              -              
183            158            -              -              -              -              
179            164            -              -              -              -              
155            155            -              -              -              -              
176            155            -              -              -              -              
156            187            -              -              -              -              
149            169            -              -              -              -              
118            145            -              -              -              -              
140            151            -              -              -              -              
142            -              -              -              -              -              
138            -              -              -              -              -              
140            -              -              -              -              -              
168            -              -              -              -              -              
142            -              -              -              -              -              
150            -              -              -              -              -              
161            -              -              -              -              -              
120            -              -              -              -              -              
182            -              -              -              -              -              
150            -              -              -              -              -              
96             -              -              -              -              -              
145            -              -              -              -              -              
67             -              -              -              -              -              
137            -              -              -              -              -              
137            -              -              -              -              -              
160            -              -              -              -              -              
139            -              -              -              -              -              
81             -              -              -              -              -              
141            -              -              -              -              -              
177            -              -              -              -              -              
164            -              -              -              -              -              
149            -              -              -              -              -              
74             -              -              -              -              -              
160            -              -              -              -              -              
136            -              -              -              -              -              
161            -              -              -              -              -              
150            -              -              -              -              -              
142            -              -              -              -              -              
132            -              -              -              -              -              
168            -              -              -              -              -              
188            -              -              -              -              -              
198            -              -              -              -              -              
188            -              -              -              -              -              
183            -              -              -              -              -              
164            -              -              -              -              -              
175            -              -              -              -              -              
185            -              -              -              -              -              
191            -              -              -              -              -              
179            -              -              -              -              -              
161            -              -              -              -              -              
177            -              -              -              -              -              
149            -              -              -              -              -              
157            -              -              -              -              -              
159            -              -              -              -              -              
159            -              -              -              -              -              
163            -              -              -              -              -              
153            -              -              -              -              -              
-              
