CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
9              4              13             6              5              10             
13             9              12             -              21             18             
17             3              13             -              20             18             
15             9              11             -              30             -              
20             9              0              -              28             -              
15             9              9              -              -              -              
12             9              9              -              -              -              
17             9              13             -              -              -              
13             9              13             -              -              -              
10             9              6              -              -              -              
5              9              12             -              -              -              
15             5              8              -              -              -              
15             9              3              -              -              -              
13             9              5              -              -              -              
16             3              0              -              -              -              
21             9              8              -              -              -              
10             3              7              -              -              -              
14             9              8              -              -              -              
9              9              6              -              -              -              
11             3              12             -              -              -              
7              9              3              -              -              -              
13             9              6              -              -              -              
9              10             11             -              -              -              
16             10             15             -              -              -              
9              10             6              -              -              -              
12             9              9              -              -              -              
9              9              8              -              -              -              
14             9              8              -              -              -              
16             12             6              -              -              -              
9              12             6              -              -              -              
11             2              6              -              -              -              
12             9              6              -              -              -              
12             9              6              -              -              -              
9              9              6              -              -              -              
15             9              6              -              -              -              
10             2              6              -              -              -              
12             8              6              -              -              -              
16             9              6              -              -              -              
15             12             6              -              -              -              
16             15             8              -              -              -              
3              13             6              -              -              -              
15             8              10             -              -              -              
17             11             7              -              -              -              
14             12             2              -              -              -              
14             7              9              -              -              -              
12             12             7              -              -              -              
28             0              6              -              -              -              
14             6              6              -              -              -              
10             5              8              -              -              -              
9              6              7              -              -              -              
10             9              9              -              -              -              
10             9              7              -              -              -              
15             11             11             -              -              -              
17             11             5              -              -              -              
14             10             9              -              -              -              
15             9              12             -              -              -              
13             8              5              -              -              -              
10             10             8              -              -              -              
13             10             6              -              -              -              
14             9              5              -              -              -              
13             10             4              -              -              -              
16             7              -              -              -              -              
10             6              -              -              -              -              
13             6              -              -              -              -              
15             7              -              -              -              -              
14             9              -              -              -              -              
15             8              -              -              -              -              
20             10             -              -              -              -              
14             6              -              -              -              -              
21             10             -              -              -              -              
12             5              -              -              -              -              
25             7              -              -              -              -              
21             10             -              -              -              -              
12             11             -              -              -              -              
9              3              -              -              -              -              
12             3              -              -              -              -              
15             -              -              -              -              -              
9              -              -              -              -              -              
23             -              -              -              -              -              
22             -              -              -              -              -              
13             -              -              -              -              -              
21             -              -              -              -              -              
13             -              -              -              -              -              
10             -              -              -              -              -              
20             -              -              -              -              -              
12             -              -              -              -              -              
12             -              -              -              -              -              
11             -              -              -              -              -              
3              -              -              -              -              -              
13             -              -              -              -              -              
11             -              -              -              -              -              
12             -              -              -              -              -              
10             -              -              -              -              -              
3              -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
16             -              -              -              -              -              
4              -              -              -              -              -              
16             -              -              -              -              -              
15             -              -              -              -              -              
13             -              -              -              -              -              
13             -              -              -              -              -              
13             -              -              -              -              -              
10             -              -              -              -              -              
9              -              -              -              -              -              
12             -              -              -              -              -              
12             -              -              -              -              -              
11             -              -              -              -              -              
11             -              -              -              -              -              
12             -              -              -              -              -              
9              -              -              -              -              -              
11             -              -              -              -              -              
12             -              -              -              -              -              
9              -              -              -              -              -              
14             -              -              -              -              -              
9              -              -              -              -              -              
14             -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
7              -              -              -              -              -              
-              
