CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
721            583            546            631            542            563            
672            694            553            -              673            646            
661            580            561            -              639            665            
670            610            563            -              675            -              
687            618            546            -              689            -              
719            599            570            -              -              -              
652            631            602            -              -              -              
661            615            583            -              -              -              
666            615            561            -              -              -              
646            616            603            -              -              -              
622            621            642            -              -              -              
680            610            593            -              -              -              
657            634            576            -              -              -              
487            627            607            -              -              -              
644            592            567            -              -              -              
668            600            600            -              -              -              
617            593            538            -              -              -              
667            627            597            -              -              -              
621            601            621            -              -              -              
633            598            602            -              -              -              
650            616            581            -              -              -              
640            605            556            -              -              -              
504            629            594            -              -              -              
580            639            595            -              -              -              
618            643            627            -              -              -              
563            618            647            -              -              -              
597            642            651            -              -              -              
538            632            591            -              -              -              
632            658            635            -              -              -              
570            635            637            -              -              -              
611            600            636            -              -              -              
580            596            624            -              -              -              
660            587            631            -              -              -              
616            661            568            -              -              -              
578            644            605            -              -              -              
723            536            563            -              -              -              
695            605            532            -              -              -              
549            634            584            -              -              -              
558            642            543            -              -              -              
625            661            556            -              -              -              
438            597            606            -              -              -              
562            622            562            -              -              -              
548            641            537            -              -              -              
618            670            573            -              -              -              
417            568            663            -              -              -              
430            584            625            -              -              -              
489            594            622            -              -              -              
505            611            630            -              -              -              
627            584            640            -              -              -              
665            637            634            -              -              -              
642            636            641            -              -              -              
607            691            627            -              -              -              
549            620            654            -              -              -              
570            610            597            -              -              -              
547            604            619            -              -              -              
575            620            600            -              -              -              
580            634            584            -              -              -              
666            641            548            -              -              -              
614            640            590            -              -              -              
617            605            543            -              -              -              
586            641            594            -              -              -              
568            643            -              -              -              -              
598            606            -              -              -              -              
706            611            -              -              -              -              
684            601            -              -              -              -              
644            570            -              -              -              -              
586            534            -              -              -              -              
631            570            -              -              -              -              
675            605            -              -              -              -              
609            588            -              -              -              -              
662            617            -              -              -              -              
582            604            -              -              -              -              
572            633            -              -              -              -              
646            611            -              -              -              -              
538            580            -              -              -              -              
637            596            -              -              -              -              
634            -              -              -              -              -              
599            -              -              -              -              -              
568            -              -              -              -              -              
584            -              -              -              -              -              
511            -              -              -              -              -              
575            -              -              -              -              -              
576            -              -              -              -              -              
499            -              -              -              -              -              
627            -              -              -              -              -              
615            -              -              -              -              -              
438            -              -              -              -              -              
646            -              -              -              -              -              
535            -              -              -              -              -              
619            -              -              -              -              -              
626            -              -              -              -              -              
662            -              -              -              -              -              
631            -              -              -              -              -              
535            -              -              -              -              -              
617            -              -              -              -              -              
667            -              -              -              -              -              
647            -              -              -              -              -              
593            -              -              -              -              -              
524            -              -              -              -              -              
646            -              -              -              -              -              
531            -              -              -              -              -              
648            -              -              -              -              -              
640            -              -              -              -              -              
574            -              -              -              -              -              
609            -              -              -              -              -              
616            -              -              -              -              -              
652            -              -              -              -              -              
650            -              -              -              -              -              
649            -              -              -              -              -              
650            -              -              -              -              -              
617            -              -              -              -              -              
659            -              -              -              -              -              
646            -              -              -              -              -              
639            -              -              -              -              -              
635            -              -              -              -              -              
581            -              -              -              -              -              
659            -              -              -              -              -              
652            -              -              -              -              -              
649            -              -              -              -              -              
655            -              -              -              -              -              
637            -              -              -              -              -              
634            -              -              -              -              -              
611            -              -              -              -              -              
-              
