CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
54             28             37             44             27             38             
46             33             35             -              53             33             
42             31             39             -              52             41             
39             35             37             -              75             -              
41             34             48             -              81             -              
47             34             28             -              -              -              
52             34             27             -              -              -              
43             33             29             -              -              -              
54             32             29             -              -              -              
50             34             33             -              -              -              
41             34             39             -              -              -              
40             31             29             -              -              -              
42             34             27             -              -              -              
36             36             35             -              -              -              
39             24             38             -              -              -              
42             30             26             -              -              -              
47             39             32             -              -              -              
43             32             31             -              -              -              
51             35             26             -              -              -              
48             25             30             -              -              -              
45             29             37             -              -              -              
39             29             35             -              -              -              
29             28             35             -              -              -              
36             31             33             -              -              -              
50             39             28             -              -              -              
32             33             27             -              -              -              
47             38             34             -              -              -              
41             40             35             -              -              -              
38             41             35             -              -              -              
40             40             38             -              -              -              
44             31             43             -              -              -              
40             31             35             -              -              -              
35             30             36             -              -              -              
47             39             35             -              -              -              
41             42             34             -              -              -              
49             36             36             -              -              -              
37             30             34             -              -              -              
24             26             34             -              -              -              
27             37             30             -              -              -              
42             36             27             -              -              -              
33             31             30             -              -              -              
25             27             29             -              -              -              
26             40             31             -              -              -              
38             39             29             -              -              -              
21             32             39             -              -              -              
28             23             34             -              -              -              
33             26             27             -              -              -              
24             28             28             -              -              -              
53             28             30             -              -              -              
58             27             28             -              -              -              
45             32             28             -              -              -              
40             39             28             -              -              -              
29             29             28             -              -              -              
30             36             28             -              -              -              
33             35             26             -              -              -              
40             31             30             -              -              -              
35             30             28             -              -              -              
46             32             21             -              -              -              
44             39             24             -              -              -              
40             37             26             -              -              -              
37             39             41             -              -              -              
37             30             -              -              -              -              
41             31             -              -              -              -              
46             32             -              -              -              -              
41             31             -              -              -              -              
39             28             -              -              -              -              
37             24             -              -              -              -              
30             26             -              -              -              -              
50             28             -              -              -              -              
44             31             -              -              -              -              
49             36             -              -              -              -              
35             36             -              -              -              -              
37             33             -              -              -              -              
50             40             -              -              -              -              
28             29             -              -              -              -              
34             35             -              -              -              -              
45             -              -              -              -              -              
37             -              -              -              -              -              
44             -              -              -              -              -              
46             -              -              -              -              -              
28             -              -              -              -              -              
41             -              -              -              -              -              
40             -              -              -              -              -              
26             -              -              -              -              -              
44             -              -              -              -              -              
45             -              -              -              -              -              
37             -              -              -              -              -              
48             -              -              -              -              -              
36             -              -              -              -              -              
39             -              -              -              -              -              
45             -              -              -              -              -              
47             -              -              -              -              -              
43             -              -              -              -              -              
37             -              -              -              -              -              
46             -              -              -              -              -              
47             -              -              -              -              -              
50             -              -              -              -              -              
38             -              -              -              -              -              
31             -              -              -              -              -              
39             -              -              -              -              -              
27             -              -              -              -              -              
39             -              -              -              -              -              
34             -              -              -              -              -              
37             -              -              -              -              -              
32             -              -              -              -              -              
40             -              -              -              -              -              
46             -              -              -              -              -              
47             -              -              -              -              -              
48             -              -              -              -              -              
49             -              -              -              -              -              
45             -              -              -              -              -              
46             -              -              -              -              -              
49             -              -              -              -              -              
45             -              -              -              -              -              
51             -              -              -              -              -              
46             -              -              -              -              -              
51             -              -              -              -              -              
52             -              -              -              -              -              
25             -              -              -              -              -              
25             -              -              -              -              -              
45             -              -              -              -              -              
45             -              -              -              -              -              
41             -              -              -              -              -              
-              
