CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
106            136            66             95             96             96             
77             133            67             -              88             106            
92             126            71             -              87             111            
93             132            58             -              102            -              
94             139            42             -              101            -              
104            118            52             -              -              -              
88             129            58             -              -              -              
91             131            45             -              -              -              
85             134            57             -              -              -              
94             122            59             -              -              -              
111            133            63             -              -              -              
92             122            60             -              -              -              
88             135            69             -              -              -              
89             135            61             -              -              -              
87             129            60             -              -              -              
91             124            56             -              -              -              
92             115            61             -              -              -              
102            133            60             -              -              -              
107            136            61             -              -              -              
98             124            71             -              -              -              
86             145            72             -              -              -              
92             148            57             -              -              -              
77             128            74             -              -              -              
72             124            67             -              -              -              
100            153            97             -              -              -              
86             138            108            -              -              -              
112            157            110            -              -              -              
98             151            89             -              -              -              
84             151            103            -              -              -              
90             158            96             -              -              -              
98             127            98             -              -              -              
102            136            113            -              -              -              
94             122            117            -              -              -              
103            166            104            -              -              -              
106            154            112            -              -              -              
106            122            103            -              -              -              
97             136            96             -              -              -              
72             127            109            -              -              -              
81             144            104            -              -              -              
105            169            121            -              -              -              
84             116            105            -              -              -              
90             127            95             -              -              -              
75             159            101            -              -              -              
90             146            98             -              -              -              
48             130            102            -              -              -              
51             101            106            -              -              -              
48             119            101            -              -              -              
56             109            97             -              -              -              
104            117            108            -              -              -              
112            125            101            -              -              -              
118            139            104            -              -              -              
70             146            103            -              -              -              
87             128            106            -              -              -              
80             106            87             -              -              -              
81             103            101            -              -              -              
82             131            88             -              -              -              
77             132            93             -              -              -              
100            131            84             -              -              -              
79             115            94             -              -              -              
91             110            75             -              -              -              
76             116            50             -              -              -              
78             131            -              -              -              -              
83             137            -              -              -              -              
75             135            -              -              -              -              
80             125            -              -              -              -              
81             116            -              -              -              -              
73             127            -              -              -              -              
75             117            -              -              -              -              
108            119            -              -              -              -              
70             117            -              -              -              -              
98             128            -              -              -              -              
81             131            -              -              -              -              
87             112            -              -              -              -              
95             156            -              -              -              -              
67             158            -              -              -              -              
101            123            -              -              -              -              
97             -              -              -              -              -              
84             -              -              -              -              -              
80             -              -              -              -              -              
94             -              -              -              -              -              
73             -              -              -              -              -              
88             -              -              -              -              -              
94             -              -              -              -              -              
72             -              -              -              -              -              
94             -              -              -              -              -              
89             -              -              -              -              -              
78             -              -              -              -              -              
101            -              -              -              -              -              
111            -              -              -              -              -              
91             -              -              -              -              -              
103            -              -              -              -              -              
104            -              -              -              -              -              
87             -              -              -              -              -              
109            -              -              -              -              -              
113            -              -              -              -              -              
106            -              -              -              -              -              
84             -              -              -              -              -              
89             -              -              -              -              -              
102            -              -              -              -              -              
98             -              -              -              -              -              
94             -              -              -              -              -              
107            -              -              -              -              -              
117            -              -              -              -              -              
92             -              -              -              -              -              
91             -              -              -              -              -              
88             -              -              -              -              -              
100            -              -              -              -              -              
102            -              -              -              -              -              
103            -              -              -              -              -              
94             -              -              -              -              -              
94             -              -              -              -              -              
78             -              -              -              -              -              
96             -              -              -              -              -              
92             -              -              -              -              -              
81             -              -              -              -              -              
92             -              -              -              -              -              
94             -              -              -              -              -              
91             -              -              -              -              -              
90             -              -              -              -              -              
98             -              -              -              -              -              
73             -              -              -              -              -              
82             -              -              -              -              -              
75             -              -              -              -              -              
-              
