CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
18             31             15             29             6              11             
14             28             13             -              10             10             
13             31             14             -              11             10             
19             29             10             -              11             -              
15             33             3              -              12             -              
15             27             6              -              -              -              
6              28             14             -              -              -              
13             28             7              -              -              -              
6              32             6              -              -              -              
6              27             16             -              -              -              
8              29             12             -              -              -              
18             26             12             -              -              -              
13             33             15             -              -              -              
15             30             13             -              -              -              
11             30             10             -              -              -              
14             29             14             -              -              -              
7              26             17             -              -              -              
12             26             15             -              -              -              
13             28             7              -              -              -              
10             24             21             -              -              -              
6              28             16             -              -              -              
10             30             10             -              -              -              
15             26             19             -              -              -              
19             23             12             -              -              -              
11             32             28             -              -              -              
14             31             27             -              -              -              
9              32             28             -              -              -              
18             34             28             -              -              -              
14             38             20             -              -              -              
12             32             17             -              -              -              
16             24             22             -              -              -              
19             36             23             -              -              -              
11             32             28             -              -              -              
11             42             25             -              -              -              
21             36             24             -              -              -              
20             24             24             -              -              -              
17             28             22             -              -              -              
12             26             27             -              -              -              
20             38             25             -              -              -              
19             39             24             -              -              -              
21             33             25             -              -              -              
9              31             25             -              -              -              
10             31             20             -              -              -              
20             29             8              -              -              -              
12             26             30             -              -              -              
18             24             30             -              -              -              
9              22             25             -              -              -              
10             17             25             -              -              -              
8              22             28             -              -              -              
12             21             25             -              -              -              
13             26             27             -              -              -              
7              24             23             -              -              -              
16             34             28             -              -              -              
13             20             31             -              -              -              
18             23             25             -              -              -              
21             21             21             -              -              -              
20             27             20             -              -              -              
9              30             23             -              -              -              
19             24             24             -              -              -              
22             28             22             -              -              -              
21             24             9              -              -              -              
21             33             -              -              -              -              
13             38             -              -              -              -              
17             29             -              -              -              -              
17             33             -              -              -              -              
17             26             -              -              -              -              
17             37             -              -              -              -              
23             38             -              -              -              -              
19             31             -              -              -              -              
22             30             -              -              -              -              
10             42             -              -              -              -              
22             34             -              -              -              -              
24             31             -              -              -              -              
9              23             -              -              -              -              
21             39             -              -              -              -              
18             25             -              -              -              -              
9              -              -              -              -              -              
6              -              -              -              -              -              
14             -              -              -              -              -              
20             -              -              -              -              -              
16             -              -              -              -              -              
18             -              -              -              -              -              
6              -              -              -              -              -              
15             -              -              -              -              -              
21             -              -              -              -              -              
7              -              -              -              -              -              
17             -              -              -              -              -              
17             -              -              -              -              -              
12             -              -              -              -              -              
13             -              -              -              -              -              
15             -              -              -              -              -              
16             -              -              -              -              -              
19             -              -              -              -              -              
15             -              -              -              -              -              
15             -              -              -              -              -              
19             -              -              -              -              -              
21             -              -              -              -              -              
16             -              -              -              -              -              
12             -              -              -              -              -              
21             -              -              -              -              -              
11             -              -              -              -              -              
16             -              -              -              -              -              
22             -              -              -              -              -              
9              -              -              -              -              -              
18             -              -              -              -              -              
12             -              -              -              -              -              
10             -              -              -              -              -              
9              -              -              -              -              -              
7              -              -              -              -              -              
9              -              -              -              -              -              
16             -              -              -              -              -              
12             -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
8              -              -              -              -              -              
13             -              -              -              -              -              
8              -              -              -              -              -              
7              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
13             -              -              -              -              -              
15             -              -              -              -              -              
13             -              -              -              -              -              
-              
