CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
9              4              7              5              0              0              
3              3              9              -              0              3              
6              6              7              -              0              3              
10             3              8              -              2              -              
6              3              3              -              2              -              
5              3              3              -              -              -              
3              3              6              -              -              -              
6              3              3              -              -              -              
3              3              3              -              -              -              
3              3              3              -              -              -              
3              3              6              -              -              -              
10             3              3              -              -              -              
7              3              3              -              -              -              
2              3              4              -              -              -              
4              4              3              -              -              -              
7              3              4              -              -              -              
3              6              3              -              -              -              
4              3              3              -              -              -              
3              3              4              -              -              -              
4              3              3              -              -              -              
3              3              3              -              -              -              
3              3              5              -              -              -              
12             3              4              -              -              -              
7              3              3              -              -              -              
3              6              6              -              -              -              
8              3              6              -              -              -              
3              4              7              -              -              -              
11             6              8              -              -              -              
6              6              5              -              -              -              
6              4              1              -              -              -              
9              3              3              -              -              -              
8              3              5              -              -              -              
2              3              5              -              -              -              
3              6              6              -              -              -              
6              6              6              -              -              -              
13             6              6              -              -              -              
4              3              6              -              -              -              
5              3              3              -              -              -              
9              5              6              -              -              -              
5              3              5              -              -              -              
9              3              7              -              -              -              
3              3              6              -              -              -              
6              3              3              -              -              -              
9              6              2              -              -              -              
6              2              6              -              -              -              
9              3              6              -              -              -              
6              3              6              -              -              -              
6              3              6              -              -              -              
5              3              7              -              -              -              
9              3              7              -              -              -              
6              3              8              -              -              -              
4              3              6              -              -              -              
9              3              8              -              -              -              
11             3              8              -              -              -              
10             3              9              -              -              -              
8              3              6              -              -              -              
5              3              5              -              -              -              
1              3              4              -              -              -              
4              3              7              -              -              -              
3              6              5              -              -              -              
3              3              3              -              -              -              
9              9              -              -              -              -              
8              3              -              -              -              -              
6              4              -              -              -              -              
6              4              -              -              -              -              
7              8              -              -              -              -              
6              3              -              -              -              -              
10             9              -              -              -              -              
3              3              -              -              -              -              
3              8              -              -              -              -              
1              15             -              -              -              -              
2              10             -              -              -              -              
1              10             -              -              -              -              
0              5              -              -              -              -              
0              11             -              -              -              -              
3              10             -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
2              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
2              -              -              -              -              -              
4              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
2              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
1              -              -              -              -              -              
-              
