CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
158            183            145            122            143            155            
126            200            143            -              139            169            
155            176            154            -              132            169            
144            195            127            -              162            -              
159            194            126            -              166            -              
158            181            127            -              -              -              
139            189            119            -              -              -              
151            194            112            -              -              -              
138            189            137            -              -              -              
150            189            136            -              -              -              
142            192            142            -              -              -              
141            174            129            -              -              -              
136            191            141            -              -              -              
124            193            132            -              -              -              
129            171            123            -              -              -              
155            180            119            -              -              -              
130            185            121            -              -              -              
167            197            141            -              -              -              
163            198            127            -              -              -              
143            170            132            -              -              -              
141            196            131            -              -              -              
153            207            116            -              -              -              
119            187            124            -              -              -              
120            187            133            -              -              -              
151            215            154            -              -              -              
127            194            161            -              -              -              
157            219            174            -              -              -              
149            215            128            -              -              -              
130            218            160            -              -              -              
139            222            161            -              -              -              
150            178            158            -              -              -              
154            181            180            -              -              -              
146            177            176            -              -              -              
156            213            170            -              -              -              
169            222            179            -              -              -              
183            183            173            -              -              -              
150            194            156            -              -              -              
105            177            169            -              -              -              
111            196            175            -              -              -              
156            219            182            -              -              -              
132            175            174            -              -              -              
126            179            157            -              -              -              
111            220            168            -              -              -              
137            213            171            -              -              -              
84             178            169            -              -              -              
87             161            169            -              -              -              
81             181            167            -              -              -              
96             170            166            -              -              -              
168            173            174            -              -              -              
170            197            174            -              -              -              
166            199            175            -              -              -              
122            220            173            -              -              -              
134            171            177            -              -              -              
123            156            153            -              -              -              
124            160            169            -              -              -              
115            182            131            -              -              -              
109            194            162            -              -              -              
158            189            136            -              -              -              
125            177            156            -              -              -              
125            167            137            -              -              -              
114            178            121            -              -              -              
114            204            -              -              -              -              
124            179            -              -              -              -              
120            198            -              -              -              -              
122            170            -              -              -              -              
127            184            -              -              -              -              
121            164            -              -              -              -              
112            174            -              -              -              -              
160            168            -              -              -              -              
115            164            -              -              -              -              
138            188            -              -              -              -              
128            183            -              -              -              -              
129            173            -              -              -              -              
142            207            -              -              -              -              
96             200            -              -              -              -              
148            185            -              -              -              -              
142            -              -              -              -              -              
123            -              -              -              -              -              
135            -              -              -              -              -              
151            -              -              -              -              -              
112            -              -              -              -              -              
149            -              -              -              -              -              
140            -              -              -              -              -              
110            -              -              -              -              -              
139            -              -              -              -              -              
135            -              -              -              -              -              
116            -              -              -              -              -              
144            -              -              -              -              -              
135            -              -              -              -              -              
130            -              -              -              -              -              
153            -              -              -              -              -              
148            -              -              -              -              -              
133            -              -              -              -              -              
139            -              -              -              -              -              
157            -              -              -              -              -              
160            -              -              -              -              -              
133            -              -              -              -              -              
139            -              -              -              -              -              
122            -              -              -              -              -              
153            -              -              -              -              -              
140            -              -              -              -              -              
151            -              -              -              -              -              
163            -              -              -              -              -              
139            -              -              -              -              -              
138            -              -              -              -              -              
138            -              -              -              -              -              
162            -              -              -              -              -              
160            -              -              -              -              -              
159            -              -              -              -              -              
154            -              -              -              -              -              
157            -              -              -              -              -              
151            -              -              -              -              -              
154            -              -              -              -              -              
151            -              -              -              -              -              
138            -              -              -              -              -              
147            -              -              -              -              -              
150            -              -              -              -              -              
146            -              -              -              -              -              
140            -              -              -              -              -              
149            -              -              -              -              -              
124            -              -              -              -              -              
129            -              -              -              -              -              
128            -              -              -              -              -              
-              
