CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
11             12             27             3              0              9              
7              15             25             -              12             5              
14             17             27             -              9              5              
9              17             21             -              21             -              
13             16             21             -              22             -              
12             15             27             -              -              -              
10             18             24             -              -              -              
11             17             26             -              -              -              
11             17             30             -              -              -              
10             21             27             -              -              -              
9              16             23             -              -              -              
10             15             19             -              -              -              
9              17             27             -              -              -              
7              19             17             -              -              -              
12             5              16             -              -              -              
13             16             21             -              -              -              
9              20             17             -              -              -              
11             18             25             -              -              -              
12             17             24             -              -              -              
10             9              22             -              -              -              
12             9              15             -              -              -              
7              12             22             -              -              -              
6              15             20             -              -              -              
3              14             27             -              -              -              
10             15             8              -              -              -              
8              15             12             -              -              -              
9              15             13             -              -              -              
7              15             8              -              -              -              
8              18             9              -              -              -              
7              17             9              -              -              -              
8              16             8              -              -              -              
11             15             14             -              -              -              
8              15             14             -              -              -              
10             16             14             -              -              -              
18             18             11             -              -              -              
14             21             9              -              -              -              
8              18             10             -              -              -              
3              15             8              -              -              -              
3              16             11             -              -              -              
10             16             16             -              -              -              
3              20             15             -              -              -              
3              12             7              -              -              -              
3              16             14             -              -              -              
7              21             14             -              -              -              
6              8              9              -              -              -              
12             21             11             -              -              -              
9              15             11             -              -              -              
4              12             11             -              -              -              
11             22             10             -              -              -              
12             18             11             -              -              -              
12             18             12             -              -              -              
8              14             13             -              -              -              
5              12             13             -              -              -              
6              15             12             -              -              -              
7              17             7              -              -              -              
5              18             10             -              -              -              
4              23             10             -              -              -              
8              19             7              -              -              -              
7              14             7              -              -              -              
3              12             11             -              -              -              
4              14             18             -              -              -              
5              23             -              -              -              -              
6              20             -              -              -              -              
8              20             -              -              -              -              
7              16             -              -              -              -              
6              22             -              -              -              -              
9              18             -              -              -              -              
9              19             -              -              -              -              
6              20             -              -              -              -              
8              13             -              -              -              -              
3              20             -              -              -              -              
5              18             -              -              -              -              
4              18             -              -              -              -              
3              19             -              -              -              -              
6              13             -              -              -              -              
5              20             -              -              -              -              
3              -              -              -              -              -              
7              -              -              -              -              -              
10             -              -              -              -              -              
6              -              -              -              -              -              
5              -              -              -              -              -              
8              -              -              -              -              -              
7              -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
3              -              -              -              -              -              
5              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
5              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
8              -              -              -              -              -              
10             -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
6              -              -              -              -              -              
14             -              -              -              -              -              
7              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
3              -              -              -              -              -              
8              -              -              -              -              -              
10             -              -              -              -              -              
8              -              -              -              -              -              
8              -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
7              -              -              -              -              -              
10             -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
7              -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
4              -              -              -              -              -              
6              -              -              -              -              -              
10             -              -              -              -              -              
10             -              -              -              -              -              
10             -              -              -              -              -              
-              
