CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
156            173            142            141            125            167            
201            171            126            -              142            152            
189            156            137            -              133            184            
201            165            123            -              162            -              
186            166            190            -              156            -              
211            158            106            -              -              -              
190            168            93             -              -              -              
174            147            115            -              -              -              
194            156            105            -              -              -              
181            157            119            -              -              -              
121            159            131            -              -              -              
186            148            130            -              -              -              
180            153            123            -              -              -              
188            163            123            -              -              -              
174            142            105            -              -              -              
183            156            121            -              -              -              
164            176            111            -              -              -              
220            153            119            -              -              -              
187            157            128            -              -              -              
154            151            118            -              -              -              
150            154            139            -              -              -              
184            168            114            -              -              -              
164            166            119            -              -              -              
179            164            130            -              -              -              
156            174            93             -              -              -              
174            146            117            -              -              -              
147            169            116            -              -              -              
176            170            120            -              -              -              
193            155            109            -              -              -              
191            174            114            -              -              -              
181            116            111            -              -              -              
200            165            112            -              -              -              
148            167            122            -              -              -              
137            175            111            -              -              -              
181            179            107            -              -              -              
193            180            128            -              -              -              
133            147            114            -              -              -              
78             173            106            -              -              -              
70             176            113            -              -              -              
176            179            128            -              -              -              
101            167            121            -              -              -              
78             160            113            -              -              -              
73             157            125            -              -              -              
157            171            113            -              -              -              
97             123            110            -              -              -              
102            131            96             -              -              -              
81             144            129            -              -              -              
73             146            123            -              -              -              
174            112            135            -              -              -              
163            110            136            -              -              -              
195            167            116            -              -              -              
148            175            132            -              -              -              
163            158            112            -              -              -              
185            148            129            -              -              -              
160            164            110            -              -              -              
177            126            112            -              -              -              
178            163            115            -              -              -              
164            151            112            -              -              -              
169            189            110            -              -              -              
167            173            114            -              -              -              
179            190            105            -              -              -              
223            174            -              -              -              -              
168            159            -              -              -              -              
184            150            -              -              -              -              
177            156            -              -              -              -              
153            143            -              -              -              -              
229            133            -              -              -              -              
135            168            -              -              -              -              
179            159            -              -              -              -              
224            157            -              -              -              -              
176            151            -              -              -              -              
194            131            -              -              -              -              
190            143            -              -              -              -              
179            139            -              -              -              -              
173            149            -              -              -              -              
156            134            -              -              -              -              
178            -              -              -              -              -              
192            -              -              -              -              -              
119            -              -              -              -              -              
148            -              -              -              -              -              
127            -              -              -              -              -              
110            -              -              -              -              -              
143            -              -              -              -              -              
111            -              -              -              -              -              
156            -              -              -              -              -              
156            -              -              -              -              -              
146            -              -              -              -              -              
186            -              -              -              -              -              
90             -              -              -              -              -              
164            -              -              -              -              -              
160            -              -              -              -              -              
160            -              -              -              -              -              
160            -              -              -              -              -              
127            -              -              -              -              -              
170            -              -              -              -              -              
177            -              -              -              -              -              
171            -              -              -              -              -              
108            -              -              -              -              -              
96             -              -              -              -              -              
164            -              -              -              -              -              
168            -              -              -              -              -              
173            -              -              -              -              -              
124            -              -              -              -              -              
181            -              -              -              -              -              
162            -              -              -              -              -              
139            -              -              -              -              -              
168            -              -              -              -              -              
151            -              -              -              -              -              
167            -              -              -              -              -              
149            -              -              -              -              -              
134            -              -              -              -              -              
142            -              -              -              -              -              
146            -              -              -              -              -              
171            -              -              -              -              -              
149            -              -              -              -              -              
162            -              -              -              -              -              
159            -              -              -              -              -              
179            -              -              -              -              -              
112            -              -              -              -              -              
129            -              -              -              -              -              
152            -              -              -              -              -              
148            -              -              -              -              -              
145            -              -              -              -              -              
-              
