CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
113            128            112            91             70             74             
107            157            101            -              77             104            
95             140            114            -              77             104            
89             148            113            -              71             -              
97             147            24             -              68             -              
106            143            75             -              -              -              
90             139            93             -              -              -              
92             146            89             -              -              -              
100            153            83             -              -              -              
90             150            74             -              -              -              
94             143            102            -              -              -              
99             136            89             -              -              -              
83             144            68             -              -              -              
97             150            76             -              -              -              
98             122            80             -              -              -              
96             145            90             -              -              -              
93             140            57             -              -              -              
97             149            112            -              -              -              
92             141            83             -              -              -              
89             107            103            -              -              -              
88             135            69             -              -              -              
86             151            67             -              -              -              
104            144            80             -              -              -              
85             139            102            -              -              -              
92             144            102            -              -              -              
79             146            118            -              -              -              
75             145            95             -              -              -              
102            141            92             -              -              -              
88             138            118            -              -              -              
93             142            118            -              -              -              
92             109            120            -              -              -              
91             144            116            -              -              -              
60             143            127            -              -              -              
75             133            98             -              -              -              
66             143            102            -              -              -              
102            135            110            -              -              -              
74             151            105            -              -              -              
59             150            105            -              -              -              
54             148            97             -              -              -              
91             140            103            -              -              -              
61             139            95             -              -              -              
52             132            111            -              -              -              
53             145            109            -              -              -              
100            168            31             -              -              -              
54             115            96             -              -              -              
51             123            95             -              -              -              
30             109            111            -              -              -              
49             99             113            -              -              -              
92             71             117            -              -              -              
96             85             115            -              -              -              
103            136            123            -              -              -              
80             157            100            -              -              -              
112            128            126            -              -              -              
118            133            104            -              -              -              
105            125            111            -              -              -              
117            124            110            -              -              -              
117            141            101            -              -              -              
100            150            135            -              -              -              
119            134            106            -              -              -              
112            111            96             -              -              -              
88             134            80             -              -              -              
139            167            -              -              -              -              
97             132            -              -              -              -              
124            128            -              -              -              -              
123            124            -              -              -              -              
107            117            -              -              -              -              
112            145            -              -              -              -              
99             149            -              -              -              -              
128            121            -              -              -              -              
117            117            -              -              -              -              
111            129            -              -              -              -              
93             126            -              -              -              -              
104            139            -              -              -              -              
104            154            -              -              -              -              
92             122            -              -              -              -              
108            87             -              -              -              -              
104            -              -              -              -              -              
116            -              -              -              -              -              
116            -              -              -              -              -              
81             -              -              -              -              -              
106            -              -              -              -              -              
89             -              -              -              -              -              
97             -              -              -              -              -              
80             -              -              -              -              -              
91             -              -              -              -              -              
98             -              -              -              -              -              
92             -              -              -              -              -              
106            -              -              -              -              -              
65             -              -              -              -              -              
103            -              -              -              -              -              
107            -              -              -              -              -              
102            -              -              -              -              -              
89             -              -              -              -              -              
73             -              -              -              -              -              
101            -              -              -              -              -              
121            -              -              -              -              -              
93             -              -              -              -              -              
51             -              -              -              -              -              
70             -              -              -              -              -              
106            -              -              -              -              -              
100            -              -              -              -              -              
102            -              -              -              -              -              
88             -              -              -              -              -              
78             -              -              -              -              -              
99             -              -              -              -              -              
100            -              -              -              -              -              
119            -              -              -              -              -              
121            -              -              -              -              -              
116            -              -              -              -              -              
120            -              -              -              -              -              
98             -              -              -              -              -              
106            -              -              -              -              -              
102            -              -              -              -              -              
115            -              -              -              -              -              
103            -              -              -              -              -              
100            -              -              -              -              -              
96             -              -              -              -              -              
111            -              -              -              -              -              
77             -              -              -              -              -              
79             -              -              -              -              -              
94             -              -              -              -              -              
101            -              -              -              -              -              
90             -              -              -              -              -              
-              
