CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
1751           1631           1494           1601           1678           1631           
1761           1651           1376           -              1608           1579           
1734           1384           1488           -              1548           1739           
1805           1515           1358           -              1711           -              
1721           1534           1441           -              1666           -              
1849           1478           1294           -              -              -              
1771           1510           1171           -              -              -              
1685           1469           1396           -              -              -              
1758           1505           1379           -              -              -              
1703           1532           1384           -              -              -              
1583           1476           1497           -              -              -              
1778           1447           1479           -              -              -              
1709           1457           1401           -              -              -              
1449           1521           1376           -              -              -              
1654           1478           1285           -              -              -              
1668           1495           1297           -              -              -              
1731           1601           1339           -              -              -              
1975           1467           1505           -              -              -              
1673           1482           1250           -              -              -              
1584           1468           1436           -              -              -              
1531           1528           1412           -              -              -              
1541           1593           1294           -              -              -              
1736           1568           1320           -              -              -              
1520           1466           1404           -              -              -              
1625           1581           1143           -              -              -              
1675           1470           1235           -              -              -              
1438           1523           1099           -              -              -              
1701           1562           1071           -              -              -              
1710           1528           1345           -              -              -              
1598           1561           1325           -              -              -              
1658           1356           1300           -              -              -              
1764           1554           1363           -              -              -              
1578           1518           1400           -              -              -              
1536           1499           1224           -              -              -              
1800           1570           1256           -              -              -              
1748           1632           1247           -              -              -              
1642           1481           1192           -              -              -              
1151           1501           1273           -              -              -              
1088           1538           1191           -              -              -              
1578           1538           1267           -              -              -              
1355           1371           1206           -              -              -              
1110           1404           1156           -              -              -              
1137           1519           1192           -              -              -              
1565           1631           1234           -              -              -              
1106           1333           1254           -              -              -              
1040           1417           1144           -              -              -              
1095           1388           1268           -              -              -              
1022           1449           1249           -              -              -              
1642           1168           1324           -              -              -              
1635           1414           1362           -              -              -              
1693           1499           1280           -              -              -              
1430           1621           1270           -              -              -              
1468           1383           1293           -              -              -              
1500           1378           1263           -              -              -              
1388           1416           1224           -              -              -              
1540           1255           1145           -              -              -              
1537           1512           1204           -              -              -              
1416           1449           1191           -              -              -              
1471           1516           1217           -              -              -              
1583           1544           1146           -              -              -              
1429           1517           1366           -              -              -              
1632           1564           -              -              -              -              
1433           1362           -              -              -              -              
1549           1422           -              -              -              -              
1541           1368           -              -              -              -              
1401           1294           -              -              -              -              
1640           1340           -              -              -              -              
1450           1423           -              -              -              -              
1773           1377           -              -              -              -              
1694           1306           -              -              -              -              
1666           1472           -              -              -              -              
1686           1391           -              -              -              -              
1663           1399           -              -              -              -              
1590           1421           -              -              -              -              
1585           1456           -              -              -              -              
1536           1367           -              -              -              -              
1546           -              -              -              -              -              
1678           -              -              -              -              -              
1434           -              -              -              -              -              
1549           -              -              -              -              -              
1371           -              -              -              -              -              
1551           -              -              -              -              -              
1470           -              -              -              -              -              
1336           -              -              -              -              -              
1528           -              -              -              -              -              
1559           -              -              -              -              -              
1231           -              -              -              -              -              
1718           -              -              -              -              -              
1346           -              -              -              -              -              
1538           -              -              -              -              -              
1623           -              -              -              -              -              
1622           -              -              -              -              -              
1585           -              -              -              -              -              
1454           -              -              -              -              -              
1538           -              -              -              -              -              
1666           -              -              -              -              -              
1571           -              -              -              -              -              
1259           -              -              -              -              -              
1396           -              -              -              -              -              
1597           -              -              -              -              -              
1529           -              -              -              -              -              
1595           -              -              -              -              -              
1618           -              -              -              -              -              
1474           -              -              -              -              -              
1504           -              -              -              -              -              
1496           -              -              -              -              -              
1784           -              -              -              -              -              
1776           -              -              -              -              -              
1813           -              -              -              -              -              
1762           -              -              -              -              -              
1635           -              -              -              -              -              
1667           -              -              -              -              -              
1707           -              -              -              -              -              
1818           -              -              -              -              -              
1632           -              -              -              -              -              
1712           -              -              -              -              -              
1714           -              -              -              -              -              
1671           -              -              -              -              -              
1554           -              -              -              -              -              
1618           -              -              -              -              -              
1669           -              -              -              -              -              
1665           -              -              -              -              -              
1534           -              -              -              -              -              
-              
