CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
333            244            235            239            210            249            
322            271            213            -              267            303            
315            216            232            -              258            330            
322            218            207            -              339            -              
315            236            228            -              308            -              
352            221            171            -              -              -              
301            228            203            -              -              -              
293            216            211            -              -              -              
307            231            178            -              -              -              
289            224            214            -              -              -              
218            206            232            -              -              -              
300            219            225            -              -              -              
299            225            236            -              -              -              
215            237            224            -              -              -              
272            234            212            -              -              -              
294            232            213            -              -              -              
238            255            183            -              -              -              
357            220            247            -              -              -              
280            221            205            -              -              -              
254            208            259            -              -              -              
207            244            215            -              -              -              
272            250            190            -              -              -              
260            263            197            -              -              -              
238            223            225            -              -              -              
260            247            210            -              -              -              
261            211            231            -              -              -              
243            235            224            -              -              -              
245            256            190            -              -              -              
253            243            252            -              -              -              
236            239            255            -              -              -              
235            225            241            -              -              -              
292            235            261            -              -              -              
280            216            258            -              -              -              
208            240            248            -              -              -              
297            249            237            -              -              -              
280            237            251            -              -              -              
298            221            236            -              -              -              
222            234            235            -              -              -              
204            254            236            -              -              -              
280            260            239            -              -              -              
192            192            248            -              -              -              
198            201            239            -              -              -              
201            247            261            -              -              -              
294            261            238            -              -              -              
201            194            239            -              -              -              
198            165            210            -              -              -              
198            210            206            -              -              -              
189            203            213            -              -              -              
261            166            235            -              -              -              
253            231            230            -              -              -              
283            238            255            -              -              -              
275            276            223            -              -              -              
273            218            238            -              -              -              
272            228            219            -              -              -              
232            227            232            -              -              -              
311            156            202            -              -              -              
290            253            212            -              -              -              
312            234            172            -              -              -              
285            241            212            -              -              -              
295            225            170            -              -              -              
276            241            228            -              -              -              
284            303            -              -              -              -              
262            240            -              -              -              -              
340            244            -              -              -              -              
330            240            -              -              -              -              
320            237            -              -              -              -              
281            234            -              -              -              -              
277            231            -              -              -              -              
376            236            -              -              -              -              
293            191            -              -              -              -              
381            237            -              -              -              -              
279            209            -              -              -              -              
284            217            -              -              -              -              
369            238            -              -              -              -              
286            229            -              -              -              -              
299            259            -              -              -              -              
365            -              -              -              -              -              
297            -              -              -              -              -              
165            -              -              -              -              -              
304            -              -              -              -              -              
201            -              -              -              -              -              
303            -              -              -              -              -              
279            -              -              -              -              -              
148            -              -              -              -              -              
321            -              -              -              -              -              
341            -              -              -              -              -              
211            -              -              -              -              -              
359            -              -              -              -              -              
170            -              -              -              -              -              
296            -              -              -              -              -              
319            -              -              -              -              -              
340            -              -              -              -              -              
303            -              -              -              -              -              
182            -              -              -              -              -              
314            -              -              -              -              -              
372            -              -              -              -              -              
335            -              -              -              -              -              
285            -              -              -              -              -              
200            -              -              -              -              -              
299            -              -              -              -              -              
284            -              -              -              -              -              
320            -              -              -              -              -              
375            -              -              -              -              -              
292            -              -              -              -              -              
229            -              -              -              -              -              
261            -              -              -              -              -              
335            -              -              -              -              -              
340            -              -              -              -              -              
332            -              -              -              -              -              
338            -              -              -              -              -              
328            -              -              -              -              -              
311            -              -              -              -              -              
328            -              -              -              -              -              
340            -              -              -              -              -              
314            -              -              -              -              -              
317            -              -              -              -              -              
338            -              -              -              -              -              
287            -              -              -              -              -              
213            -              -              -              -              -              
229            -              -              -              -              -              
310            -              -              -              -              -              
290            -              -              -              -              -              
283            -              -              -              -              -              
-              
