CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
9              4              3              9              6              3              
9              3              2              -              2              11             
9              11             0              -              2              15             
11             8              2              -              6              -              
9              6              6              -              6              -              
10             6              5              -              -              -              
9              9              0              -              -              -              
9              6              3              -              -              -              
9              2              6              -              -              -              
9              3              3              -              -              -              
7              7              18             -              -              -              
10             6              2              -              -              -              
10             6              3              -              -              -              
11             2              5              -              -              -              
9              13             6              -              -              -              
9              3              2              -              -              -              
6              6              3              -              -              -              
7              5              3              -              -              -              
9              6              3              -              -              -              
6              2              7              -              -              -              
9              5              3              -              -              -              
9              4              2              -              -              -              
9              3              2              -              -              -              
9              8              3              -              -              -              
11             6              7              -              -              -              
7              5              6              -              -              -              
9              6              6              -              -              -              
8              6              7              -              -              -              
10             6              9              -              -              -              
7              6              5              -              -              -              
10             5              3              -              -              -              
12             4              8              -              -              -              
13             2              7              -              -              -              
9              3              7              -              -              -              
9              6              8              -              -              -              
12             21             7              -              -              -              
10             3              7              -              -              -              
7              3              7              -              -              -              
8              0              7              -              -              -              
7              9              10             -              -              -              
3              4              9              -              -              -              
6              11             8              -              -              -              
6              6              8              -              -              -              
9              0              2              -              -              -              
8              10             6              -              -              -              
3              1              9              -              -              -              
12             2              7              -              -              -              
9              1              8              -              -              -              
10             4              8              -              -              -              
12             3              8              -              -              -              
12             3              11             -              -              -              
10             3              8              -              -              -              
9              5              8              -              -              -              
9              9              8              -              -              -              
8              12             8              -              -              -              
13             12             6              -              -              -              
11             2              7              -              -              -              
5              4              8              -              -              -              
13             4              7              -              -              -              
13             5              5              -              -              -              
12             4              3              -              -              -              
11             8              -              -              -              -              
7              4              -              -              -              -              
9              7              -              -              -              -              
9              3              -              -              -              -              
9              9              -              -              -              -              
9              6              -              -              -              -              
9              13             -              -              -              -              
6              2              -              -              -              -              
10             9              -              -              -              -              
6              3              -              -              -              -              
10             3              -              -              -              -              
16             3              -              -              -              -              
6              0              -              -              -              -              
11             0              -              -              -              -              
6              0              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
12             -              -              -              -              -              
5              -              -              -              -              -              
9              -              -              -              -              -              
5              -              -              -              -              -              
3              -              -              -              -              -              
12             -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
14             -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
7              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
8              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
8              -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
7              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
-              
