CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
19             28             18             51             21             13             
15             16             16             -              21             3              
16             31             17             -              25             3              
21             12             18             -              35             -              
15             12             42             -              37             -              
14             13             9              -              -              -              
22             12             12             -              -              -              
16             14             14             -              -              -              
20             12             9              -              -              -              
22             13             15             -              -              -              
14             13             8              -              -              -              
22             20             11             -              -              -              
24             12             15             -              -              -              
15             12             23             -              -              -              
16             25             18             -              -              -              
17             14             16             -              -              -              
17             34             11             -              -              -              
16             13             19             -              -              -              
17             13             13             -              -              -              
19             17             12             -              -              -              
22             18             21             -              -              -              
15             15             16             -              -              -              
15             17             20             -              -              -              
25             15             15             -              -              -              
14             38             27             -              -              -              
21             14             25             -              -              -              
24             35             27             -              -              -              
22             38             19             -              -              -              
19             35             23             -              -              -              
17             35             22             -              -              -              
19             22             21             -              -              -              
18             20             20             -              -              -              
15             24             24             -              -              -              
11             21             23             -              -              -              
18             38             22             -              -              -              
21             21             30             -              -              -              
13             13             20             -              -              -              
29             16             24             -              -              -              
31             18             26             -              -              -              
13             24             17             -              -              -              
15             18             18             -              -              -              
25             15             23             -              -              -              
33             34             24             -              -              -              
15             27             22             -              -              -              
3              19             38             -              -              -              
3              13             16             -              -              -              
3              24             29             -              -              -              
4              11             34             -              -              -              
18             22             31             -              -              -              
21             24             31             -              -              -              
18             13             32             -              -              -              
17             18             32             -              -              -              
5              9              33             -              -              -              
8              15             33             -              -              -              
9              21             34             -              -              -              
3              16             40             -              -              -              
6              11             32             -              -              -              
15             14             38             -              -              -              
8              18             28             -              -              -              
4              20             38             -              -              -              
4              18             31             -              -              -              
5              22             -              -              -              -              
7              24             -              -              -              -              
11             24             -              -              -              -              
11             21             -              -              -              -              
11             23             -              -              -              -              
8              18             -              -              -              -              
11             21             -              -              -              -              
17             25             -              -              -              -              
6              25             -              -              -              -              
15             15             -              -              -              -              
3              17             -              -              -              -              
6              9              -              -              -              -              
15             14             -              -              -              -              
7              14             -              -              -              -              
14             25             -              -              -              -              
15             -              -              -              -              -              
18             -              -              -              -              -              
6              -              -              -              -              -              
16             -              -              -              -              -              
9              -              -              -              -              -              
17             -              -              -              -              -              
15             -              -              -              -              -              
9              -              -              -              -              -              
16             -              -              -              -              -              
14             -              -              -              -              -              
10             -              -              -              -              -              
21             -              -              -              -              -              
15             -              -              -              -              -              
14             -              -              -              -              -              
23             -              -              -              -              -              
19             -              -              -              -              -              
14             -              -              -              -              -              
26             -              -              -              -              -              
15             -              -              -              -              -              
18             -              -              -              -              -              
21             -              -              -              -              -              
11             -              -              -              -              -              
23             -              -              -              -              -              
13             -              -              -              -              -              
20             -              -              -              -              -              
19             -              -              -              -              -              
16             -              -              -              -              -              
15             -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
18             -              -              -              -              -              
14             -              -              -              -              -              
19             -              -              -              -              -              
19             -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
17             -              -              -              -              -              
19             -              -              -              -              -              
18             -              -              -              -              -              
16             -              -              -              -              -              
16             -              -              -              -              -              
11             -              -              -              -              -              
22             -              -              -              -              -              
19             -              -              -              -              -              
14             -              -              -              -              -              
10             -              -              -              -              -              
6              -              -              -              -              -              
-              
