CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
21             39             17             8              4              20             
6              23             16             -              10             16             
21             32             12             -              10             18             
19             29             17             -              17             -              
30             22             3              -              14             -              
24             25             13             -              -              -              
11             23             6              -              -              -              
25             24             12             -              -              -              
7              29             12             -              -              -              
7              23             19             -              -              -              
4              24             24             -              -              -              
19             19             10             -              -              -              
22             21             24             -              -              -              
24             22             14             -              -              -              
9              27             21             -              -              -              
31             20             22             -              -              -              
11             13             21             -              -              -              
26             24             21             -              -              -              
15             22             20             -              -              -              
24             23             15             -              -              -              
9              29             18             -              -              -              
12             22             10             -              -              -              
22             13             9              -              -              -              
30             17             27             -              -              -              
16             24             21             -              -              -              
28             19             16             -              -              -              
12             24             13             -              -              -              
33             21             14             -              -              -              
35             30             10             -              -              -              
34             24             10             -              -              -              
27             24             9              -              -              -              
20             21             9              -              -              -              
9              18             11             -              -              -              
13             27             14             -              -              -              
33             24             10             -              -              -              
19             18             7              -              -              -              
17             26             7              -              -              -              
33             12             7              -              -              -              
32             21             11             -              -              -              
22             33             10             -              -              -              
18             28             6              -              -              -              
39             17             9              -              -              -              
27             20             14             -              -              -              
21             22             1              -              -              -              
12             27             40             -              -              -              
15             46             22             -              -              -              
12             27             26             -              -              -              
12             16             26             -              -              -              
21             10             25             -              -              -              
33             28             32             -              -              -              
18             23             29             -              -              -              
30             19             21             -              -              -              
7              9              30             -              -              -              
6              22             28             -              -              -              
4              24             36             -              -              -              
23             6              41             -              -              -              
24             14             32             -              -              -              
17             12             30             -              -              -              
25             35             27             -              -              -              
23             34             38             -              -              -              
22             35             14             -              -              -              
27             13             -              -              -              -              
10             30             -              -              -              -              
19             23             -              -              -              -              
20             16             -              -              -              -              
19             10             -              -              -              -              
6              20             -              -              -              -              
27             15             -              -              -              -              
16             20             -              -              -              -              
33             12             -              -              -              -              
11             23             -              -              -              -              
27             17             -              -              -              -              
33             18             -              -              -              -              
19             15             -              -              -              -              
39             20             -              -              -              -              
22             13             -              -              -              -              
9              -              -              -              -              -              
15             -              -              -              -              -              
33             -              -              -              -              -              
18             -              -              -              -              -              
26             -              -              -              -              -              
15             -              -              -              -              -              
10             -              -              -              -              -              
28             -              -              -              -              -              
24             -              -              -              -              -              
10             -              -              -              -              -              
25             -              -              -              -              -              
14             -              -              -              -              -              
8              -              -              -              -              -              
12             -              -              -              -              -              
14             -              -              -              -              -              
9              -              -              -              -              -              
15             -              -              -              -              -              
1              -              -              -              -              -              
14             -              -              -              -              -              
16             -              -              -              -              -              
13             -              -              -              -              -              
26             -              -              -              -              -              
0              -              -              -              -              -              
25             -              -              -              -              -              
20             -              -              -              -              -              
12             -              -              -              -              -              
14             -              -              -              -              -              
24             -              -              -              -              -              
32             -              -              -              -              -              
12             -              -              -              -              -              
9              -              -              -              -              -              
10             -              -              -              -              -              
10             -              -              -              -              -              
8              -              -              -              -              -              
5              -              -              -              -              -              
10             -              -              -              -              -              
10             -              -              -              -              -              
10             -              -              -              -              -              
6              -              -              -              -              -              
7              -              -              -              -              -              
16             -              -              -              -              -              
6              -              -              -              -              -              
19             -              -              -              -              -              
15             -              -              -              -              -              
11             -              -              -              -              -              
13             -              -              -              -              -              
11             -              -              -              -              -              
-              
