CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
13             39             15             8              4              8              
6              13             14             -              2              12             
11             32             12             -              0              13             
17             17             13             -              6              -              
21             14             0              -              6              -              
16             15             13             -              -              -              
8              13             6              -              -              -              
13             15             12             -              -              -              
6              15             12             -              -              -              
6              14             16             -              -              -              
3              15             15             -              -              -              
13             12             9              -              -              -              
14             15             21             -              -              -              
6              15             13             -              -              -              
7              23             18             -              -              -              
20             15             21             -              -              -              
10             13             18             -              -              -              
19             15             19             -              -              -              
13             14             18             -              -              -              
18             13             15             -              -              -              
9              15             18             -              -              -              
1              12             10             -              -              -              
7              13             9              -              -              -              
15             12             27             -              -              -              
16             15             13             -              -              -              
12             10             7              -              -              -              
12             15             6              -              -              -              
18             12             4              -              -              -              
24             21             3              -              -              -              
16             15             3              -              -              -              
18             13             3              -              -              -              
12             10             3              -              -              -              
0              12             3              -              -              -              
13             12             3              -              -              -              
33             15             3              -              -              -              
16             18             3              -              -              -              
10             15             3              -              -              -              
15             12             3              -              -              -              
17             15             3              -              -              -              
10             15             2              -              -              -              
9              15             3              -              -              -              
20             15             2              -              -              -              
12             11             4              -              -              -              
15             10             0              -              -              -              
12             23             6              -              -              -              
15             41             13             -              -              -              
12             18             6              -              -              -              
12             15             6              -              -              -              
13             8              5              -              -              -              
14             22             10             -              -              -              
12             14             7              -              -              -              
18             11             3              -              -              -              
7              9              9              -              -              -              
6              15             6              -              -              -              
4              18             7              -              -              -              
23             6              15             -              -              -              
24             12             7              -              -              -              
17             11             11             -              -              -              
22             26             12             -              -              -              
23             23             13             -              -              -              
22             26             14             -              -              -              
27             13             -              -              -              -              
10             20             -              -              -              -              
19             10             -              -              -              -              
19             13             -              -              -              -              
16             10             -              -              -              -              
6              9              -              -              -              -              
27             15             -              -              -              -              
16             17             -              -              -              -              
33             12             -              -              -              -              
11             18             -              -              -              -              
27             13             -              -              -              -              
31             12             -              -              -              -              
18             12             -              -              -              -              
39             14             -              -              -              -              
22             12             -              -              -              -              
9              -              -              -              -              -              
14             -              -              -              -              -              
30             -              -              -              -              -              
18             -              -              -              -              -              
25             -              -              -              -              -              
15             -              -              -              -              -              
10             -              -              -              -              -              
23             -              -              -              -              -              
24             -              -              -              -              -              
10             -              -              -              -              -              
22             -              -              -              -              -              
14             -              -              -              -              -              
8              -              -              -              -              -              
12             -              -              -              -              -              
13             -              -              -              -              -              
9              -              -              -              -              -              
15             -              -              -              -              -              
1              -              -              -              -              -              
14             -              -              -              -              -              
16             -              -              -              -              -              
13             -              -              -              -              -              
26             -              -              -              -              -              
0              -              -              -              -              -              
25             -              -              -              -              -              
19             -              -              -              -              -              
12             -              -              -              -              -              
14             -              -              -              -              -              
22             -              -              -              -              -              
29             -              -              -              -              -              
12             -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
9              -              -              -              -              -              
7              -              -              -              -              -              
4              -              -              -              -              -              
7              -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
3              -              -              -              -              -              
7              -              -              -              -              -              
13             -              -              -              -              -              
4              -              -              -              -              -              
18             -              -              -              -              -              
14             -              -              -              -              -              
9              -              -              -              -              -              
11             -              -              -              -              -              
11             -              -              -              -              -              
-              
