CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
23             55             30             34             36             6              
15             54             17             -              15             21             
19             39             21             -              15             30             
21             46             29             -              26             -              
19             43             24             -              26             -              
19             43             15             -              -              -              
40             42             13             -              -              -              
16             40             11             -              -              -              
36             42             9              -              -              -              
34             41             36             -              -              -              
46             42             28             -              -              -              
19             36             26             -              -              -              
17             39             37             -              -              -              
24             40             25             -              -              -              
16             32             18             -              -              -              
18             37             42             -              -              -              
24             36             28             -              -              -              
26             36             33             -              -              -              
17             39             31             -              -              -              
17             44             24             -              -              -              
12             43             12             -              -              -              
18             41             28             -              -              -              
21             44             12             -              -              -              
17             38             30             -              -              -              
16             37             10             -              -              -              
23             41             12             -              -              -              
20             36             9              -              -              -              
27             35             19             -              -              -              
18             36             16             -              -              -              
19             36             17             -              -              -              
21             38             15             -              -              -              
10             52             12             -              -              -              
29             42             12             -              -              -              
15             44             9              -              -              -              
13             39             17             -              -              -              
20             36             12             -              -              -              
22             40             12             -              -              -              
24             51             13             -              -              -              
27             36             9              -              -              -              
22             38             18             -              -              -              
15             35             15             -              -              -              
24             46             16             -              -              -              
21             37             15             -              -              -              
18             39             13             -              -              -              
12             46             14             -              -              -              
18             39             19             -              -              -              
15             44             16             -              -              -              
30             26             9              -              -              -              
24             39             17             -              -              -              
30             41             16             -              -              -              
35             47             10             -              -              -              
25             55             18             -              -              -              
13             42             11             -              -              -              
12             49             13             -              -              -              
14             45             14             -              -              -              
20             33             22             -              -              -              
15             39             16             -              -              -              
31             39             20             -              -              -              
22             37             14             -              -              -              
19             36             14             -              -              -              
20             37             22             -              -              -              
15             37             -              -              -              -              
23             51             -              -              -              -              
13             44             -              -              -              -              
18             44             -              -              -              -              
11             33             -              -              -              -              
20             45             -              -              -              -              
18             39             -              -              -              -              
34             46             -              -              -              -              
30             36             -              -              -              -              
30             25             -              -              -              -              
30             26             -              -              -              -              
31             32             -              -              -              -              
28             30             -              -              -              -              
15             35             -              -              -              -              
16             29             -              -              -              -              
26             -              -              -              -              -              
22             -              -              -              -              -              
30             -              -              -              -              -              
21             -              -              -              -              -              
21             -              -              -              -              -              
19             -              -              -              -              -              
33             -              -              -              -              -              
34             -              -              -              -              -              
27             -              -              -              -              -              
15             -              -              -              -              -              
19             -              -              -              -              -              
24             -              -              -              -              -              
26             -              -              -              -              -              
33             -              -              -              -              -              
24             -              -              -              -              -              
32             -              -              -              -              -              
28             -              -              -              -              -              
25             -              -              -              -              -              
14             -              -              -              -              -              
27             -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
27             -              -              -              -              -              
22             -              -              -              -              -              
18             -              -              -              -              -              
32             -              -              -              -              -              
21             -              -              -              -              -              
19             -              -              -              -              -              
21             -              -              -              -              -              
14             -              -              -              -              -              
33             -              -              -              -              -              
32             -              -              -              -              -              
32             -              -              -              -              -              
34             -              -              -              -              -              
30             -              -              -              -              -              
24             -              -              -              -              -              
36             -              -              -              -              -              
30             -              -              -              -              -              
27             -              -              -              -              -              
28             -              -              -              -              -              
18             -              -              -              -              -              
24             -              -              -              -              -              
28             -              -              -              -              -              
26             -              -              -              -              -              
30             -              -              -              -              -              
33             -              -              -              -              -              
28             -              -              -              -              -              
-              
