CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
66             166            94             60             76             44             
35             136            88             -              74             56             
57             141            90             -              71             68             
57             140            95             -              83             -              
66             135            81             -              80             -              
55             130            67             -              -              -              
73             132            77             -              -              -              
57             124            67             -              -              -              
67             139            60             -              -              -              
65             127            91             -              -              -              
70             129            105            -              -              -              
54             123            85             -              -              -              
54             124            100            -              -              -              
71             122            86             -              -              -              
38             107            72             -              -              -              
66             119            108            -              -              -              
51             127            80             -              -              -              
71             130            96             -              -              -              
51             120            96             -              -              -              
63             126            81             -              -              -              
48             127            66             -              -              -              
53             114            104            -              -              -              
62             113            68             -              -              -              
62             105            109            -              -              -              
54             134            79             -              -              -              
72             122            73             -              -              -              
53             135            67             -              -              -              
77             125            79             -              -              -              
70             135            65             -              -              -              
77             137            67             -              -              -              
70             106            65             -              -              -              
45             143            70             -              -              -              
53             133            59             -              -              -              
51             140            68             -              -              -              
67             137            71             -              -              -              
54             98             58             -              -              -              
50             135            61             -              -              -              
78             125            63             -              -              -              
67             129            64             -              -              -              
59             151            72             -              -              -              
42             135            63             -              -              -              
81             121            71             -              -              -              
71             125            77             -              -              -              
55             142            50             -              -              -              
39             114            104            -              -              -              
60             136            97             -              -              -              
48             134            86             -              -              -              
66             96             73             -              -              -              
76             93             84             -              -              -              
97             123            92             -              -              -              
80             128            84             -              -              -              
76             134            85             -              -              -              
40             127            84             -              -              -              
35             140            75             -              -              -              
38             138            93             -              -              -              
60             100            111            -              -              -              
59             124            94             -              -              -              
84             124            93             -              -              -              
91             155            88             -              -              -              
62             144            106            -              -              -              
59             155            93             -              -              -              
60             113            -              -              -              -              
62             125            -              -              -              -              
52             130            -              -              -              -              
59             110            -              -              -              -              
47             83             -              -              -              -              
42             105            -              -              -              -              
74             100            -              -              -              -              
72             113            -              -              -              -              
82             88             -              -              -              -              
71             117            -              -              -              -              
76             109            -              -              -              -              
79             130            -              -              -              -              
74             117            -              -              -              -              
72             111            -              -              -              -              
58             87             -              -              -              -              
65             -              -              -              -              -              
76             -              -              -              -              -              
81             -              -              -              -              -              
54             -              -              -              -              -              
69             -              -              -              -              -              
50             -              -              -              -              -              
68             -              -              -              -              -              
87             -              -              -              -              -              
79             -              -              -              -              -              
48             -              -              -              -              -              
71             -              -              -              -              -              
63             -              -              -              -              -              
68             -              -              -              -              -              
64             -              -              -              -              -              
69             -              -              -              -              -              
68             -              -              -              -              -              
64             -              -              -              -              -              
57             -              -              -              -              -              
47             -              -              -              -              -              
62             -              -              -              -              -              
71             -              -              -              -              -              
79             -              -              -              -              -              
57             -              -              -              -              -              
77             -              -              -              -              -              
65             -              -              -              -              -              
78             -              -              -              -              -              
56             -              -              -              -              -              
84             -              -              -              -              -              
71             -              -              -              -              -              
50             -              -              -              -              -              
72             -              -              -              -              -              
73             -              -              -              -              -              
66             -              -              -              -              -              
70             -              -              -              -              -              
59             -              -              -              -              -              
55             -              -              -              -              -              
71             -              -              -              -              -              
64             -              -              -              -              -              
57             -              -              -              -              -              
60             -              -              -              -              -              
64             -              -              -              -              -              
49             -              -              -              -              -              
71             -              -              -              -              -              
64             -              -              -              -              -              
60             -              -              -              -              -              
70             -              -              -              -              -              
56             -              -              -              -              -              
-              
