CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
0              9              11             0              2              13             
0              14             11             -              2              4              
4              8              8              -              4              5              
0              17             9              -              1              -              
4              13             0              -              0              -              
0              16             11             -              -              -              
5              15             3              -              -              -              
3              15             7              -              -              -              
1              19             10             -              -              -              
1              14             13             -              -              -              
0              15             12             -              -              -              
0              11             9              -              -              -              
0              15             15             -              -              -              
0              13             8              -              -              -              
0              11             15             -              -              -              
4              14             13             -              -              -              
3              7              18             -              -              -              
2              14             12             -              -              -              
0              14             15             -              -              -              
0              13             12             -              -              -              
0              20             15             -              -              -              
3              16             9              -              -              -              
0              10             9              -              -              -              
0              10             17             -              -              -              
0              12             8              -              -              -              
5              10             10             -              -              -              
0              12             5              -              -              -              
3              9              8              -              -              -              
0              18             0              -              -              -              
7              12             0              -              -              -              
3              19             0              -              -              -              
0              13             0              -              -              -              
0              9              0              -              -              -              
0              16             2              -              -              -              
3              12             0              -              -              -              
0              9              0              -              -              -              
0              16             0              -              -              -              
0              9              0              -              -              -              
0              12             1              -              -              -              
0              24             2              -              -              -              
0              19             0              -              -              -              
0              12             0              -              -              -              
0              8              1              -              -              -              
0              9              0              -              -              -              
0              5              11             -              -              -              
0              6              5              -              -              -              
0              11             6              -              -              -              
0              12             5              -              -              -              
5              3              6              -              -              -              
6              11             9              -              -              -              
0              14             6              -              -              -              
1              13             2              -              -              -              
2              6              7              -              -              -              
3              4              5              -              -              -              
1              8              11             -              -              -              
2              6              3              -              -              -              
4              9              6              -              -              -              
0              9              2              -              -              -              
8              8              9              -              -              -              
6              11             8              -              -              -              
6              8              11             -              -              -              
6              10             -              -              -              -              
0              10             -              -              -              -              
5              10             -              -              -              -              
6              9              -              -              -              -              
2              6              -              -              -              -              
0              9              -              -              -              -              
9              14             -              -              -              -              
5              9              -              -              -              -              
9              11             -              -              -              -              
3              9              -              -              -              -              
10             11             -              -              -              -              
10             9              -              -              -              -              
3              9              -              -              -              -              
12             10             -              -              -              -              
3              9              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
6              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
7              -              -              -              -              -              
2              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
1              -              -              -              -              -              
4              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
11             -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
4              -              -              -              -              -              
7              -              -              -              -              -              
6              -              -              -              -              -              
4              -              -              -              -              -              
4              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
4              -              -              -              -              -              
2              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
-              
