CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
0              9              11             0              2              1              
0              9              11             -              0              0              
1              8              8              -              0              0              
0              12             9              -              0              -              
1              11             0              -              0              -              
0              12             11             -              -              -              
2              10             3              -              -              -              
0              12             7              -              -              -              
0              12             10             -              -              -              
0              11             13             -              -              -              
0              11             12             -              -              -              
0              9              9              -              -              -              
0              12             15             -              -              -              
0              12             8              -              -              -              
0              11             15             -              -              -              
1              12             13             -              -              -              
2              7              18             -              -              -              
0              12             12             -              -              -              
0              11             15             -              -              -              
0              9              12             -              -              -              
0              10             15             -              -              -              
0              9              9              -              -              -              
0              10             9              -              -              -              
0              10             17             -              -              -              
0              12             3              -              -              -              
0              7              4              -              -              -              
0              12             3              -              -              -              
0              9              2              -              -              -              
0              18             0              -              -              -              
0              12             0              -              -              -              
0              10             0              -              -              -              
0              9              0              -              -              -              
0              9              0              -              -              -              
0              9              0              -              -              -              
3              12             0              -              -              -              
0              9              0              -              -              -              
0              12             0              -              -              -              
0              9              0              -              -              -              
0              12             0              -              -              -              
0              12             0              -              -              -              
0              12             0              -              -              -              
0              12             0              -              -              -              
0              8              1              -              -              -              
0              9              0              -              -              -              
0              5              3              -              -              -              
0              6              0              -              -              -              
0              6              2              -              -              -              
0              11             2              -              -              -              
0              3              1              -              -              -              
0              11             6              -              -              -              
0              8              3              -              -              -              
1              8              0              -              -              -              
2              6              3              -              -              -              
3              4              1              -              -              -              
1              8              3              -              -              -              
2              6              0              -              -              -              
4              9              1              -              -              -              
0              9              2              -              -              -              
8              8              6              -              -              -              
6              11             3              -              -              -              
6              8              11             -              -              -              
6              10             -              -              -              -              
0              8              -              -              -              -              
5              7              -              -              -              -              
6              9              -              -              -              -              
2              6              -              -              -              -              
0              5              -              -              -              -              
9              14             -              -              -              -              
5              9              -              -              -              -              
9              11             -              -              -              -              
3              9              -              -              -              -              
10             11             -              -              -              -              
10             9              -              -              -              -              
3              9              -              -              -              -              
12             8              -              -              -              -              
3              9              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
6              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
6              -              -              -              -              -              
2              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
1              -              -              -              -              -              
4              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
11             -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
4              -              -              -              -              -              
7              -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
3              -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
-              
