CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
19             35             7              23             21             20             
23             34             11             -              37             27             
18             31             13             -              39             38             
13             34             11             -              27             -              
20             42             24             -              27             -              
16             30             21             -              -              -              
20             32             21             -              -              -              
17             32             18             -              -              -              
19             34             19             -              -              -              
22             32             16             -              -              -              
20             34             20             -              -              -              
12             32             31             -              -              -              
12             33             18             -              -              -              
32             31             17             -              -              -              
16             16             15             -              -              -              
17             33             28             -              -              -              
25             32             20             -              -              -              
24             38             15             -              -              -              
18             30             18             -              -              -              
25             32             18             -              -              -              
21             25             21             -              -              -              
14             23             32             -              -              -              
24             31             19             -              -              -              
21             31             30             -              -              -              
20             29             25             -              -              -              
26             36             21             -              -              -              
15             28             20             -              -              -              
24             28             20             -              -              -              
12             31             13             -              -              -              
29             30             12             -              -              -              
26             24             13             -              -              -              
9              29             17             -              -              -              
19             27             8              -              -              -              
19             29             16             -              -              -              
22             25             16             -              -              -              
12             23             12             -              -              -              
15             35             18             -              -              -              
36             23             17             -              -              -              
23             33             21             -              -              -              
18             32             17             -              -              -              
9              20             17             -              -              -              
33             29             18             -              -              -              
35             29             17             -              -              -              
19             32             10             -              -              -              
15             10             24             -              -              -              
24             41             29             -              -              -              
18             34             22             -              -              -              
25             28             15             -              -              -              
29             25             18             -              -              -              
33             27             18             -              -              -              
24             29             21             -              -              -              
23             33             19             -              -              -              
23             39             20             -              -              -              
17             32             15             -              -              -              
19             35             21             -              -              -              
26             25             27             -              -              -              
19             36             22             -              -              -              
50             29             21             -              -              -              
44             37             25             -              -              -              
22             34             32             -              -              -              
21             37             23             -              -              -              
20             32             -              -              -              -              
34             34             -              -              -              -              
24             28             -              -              -              -              
25             28             -              -              -              -              
13             13             -              -              -              -              
22             30             -              -              -              -              
25             22             -              -              -              -              
18             28             -              -              -              -              
24             19             -              -              -              -              
24             40             -              -              -              -              
25             40             -              -              -              -              
24             40             -              -              -              -              
22             29             -              -              -              -              
18             38             -              -              -              -              
17             15             -              -              -              -              
21             -              -              -              -              -              
34             -              -              -              -              -              
24             -              -              -              -              -              
12             -              -              -              -              -              
23             -              -              -              -              -              
14             -              -              -              -              -              
27             -              -              -              -              -              
33             -              -              -              -              -              
21             -              -              -              -              -              
20             -              -              -              -              -              
26             -              -              -              -              -              
17             -              -              -              -              -              
25             -              -              -              -              -              
15             -              -              -              -              -              
24             -              -              -              -              -              
20             -              -              -              -              -              
20             -              -              -              -              -              
28             -              -              -              -              -              
19             -              -              -              -              -              
19             -              -              -              -              -              
41             -              -              -              -              -              
39             -              -              -              -              -              
33             -              -              -              -              -              
31             -              -              -              -              -              
25             -              -              -              -              -              
29             -              -              -              -              -              
20             -              -              -              -              -              
37             -              -              -              -              -              
19             -              -              -              -              -              
17             -              -              -              -              -              
31             -              -              -              -              -              
30             -              -              -              -              -              
28             -              -              -              -              -              
30             -              -              -              -              -              
30             -              -              -              -              -              
25             -              -              -              -              -              
30             -              -              -              -              -              
27             -              -              -              -              -              
25             -              -              -              -              -              
25             -              -              -              -              -              
28             -              -              -              -              -              
28             -              -              -              -              -              
32             -              -              -              -              -              
30             -              -              -              -              -              
24             -              -              -              -              -              
28             -              -              -              -              -              
25             -              -              -              -              -              
-              
