CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
6              3              0              3              3              0              
6              3              5              -              0              0              
5              4              4              -              0              0              
3              7              3              -              4              -              
5              9              0              -              2              -              
4              4              11             -              -              -              
10             4              12             -              -              -              
4              5              7              -              -              -              
9              6              12             -              -              -              
12             6              3              -              -              -              
6              5              6              -              -              -              
3              3              13             -              -              -              
3              6              6              -              -              -              
11             4              4              -              -              -              
5              0              3              -              -              -              
5              3              0              -              -              -              
9              1              6              -              -              -              
9              5              0              -              -              -              
6              3              1              -              -              -              
9              4              0              -              -              -              
9              6              6              -              -              -              
2              3              15             -              -              -              
2              6              5              -              -              -              
0              5              15             -              -              -              
7              2              16             -              -              -              
9              7              14             -              -              -              
3              2              12             -              -              -              
6              2              8              -              -              -              
1              2              8              -              -              -              
8              1              8              -              -              -              
11             3              8              -              -              -              
3              4              8              -              -              -              
3              3              3              -              -              -              
6              2              11             -              -              -              
12             2              11             -              -              -              
3              2              9              -              -              -              
2              5              13             -              -              -              
12             3              13             -              -              -              
2              5              15             -              -              -              
5              6              11             -              -              -              
6              0              11             -              -              -              
12             3              12             -              -              -              
17             2              11             -              -              -              
3              3              7              -              -              -              
0              0              17             -              -              -              
0              3              13             -              -              -              
0              5              12             -              -              -              
1              3              8              -              -              -              
18             3              9              -              -              -              
21             3              10             -              -              -              
12             5              12             -              -              -              
9              3              12             -              -              -              
7              9              11             -              -              -              
5              3              7              -              -              -              
5              5              12             -              -              -              
7              3              9              -              -              -              
10             3              13             -              -              -              
20             3              8              -              -              -              
14             6              11             -              -              -              
6              7              16             -              -              -              
7              6              3              -              -              -              
9              5              -              -              -              -              
11             4              -              -              -              -              
7              5              -              -              -              -              
9              1              -              -              -              -              
6              0              -              -              -              -              
6              4              -              -              -              -              
13             2              -              -              -              -              
9              1              -              -              -              -              
1              0              -              -              -              -              
6              8              -              -              -              -              
2              15             -              -              -              -              
4              9              -              -              -              -              
6              7              -              -              -              -              
0              8              -              -              -              -              
11             6              -              -              -              -              
6              -              -              -              -              -              
12             -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
12             -              -              -              -              -              
2              -              -              -              -              -              
8              -              -              -              -              -              
8              -              -              -              -              -              
6              -              -              -              -              -              
11             -              -              -              -              -              
19             -              -              -              -              -              
8              -              -              -              -              -              
11             -              -              -              -              -              
11             -              -              -              -              -              
8              -              -              -              -              -              
16             -              -              -              -              -              
7              -              -              -              -              -              
7              -              -              -              -              -              
18             -              -              -              -              -              
18             -              -              -              -              -              
17             -              -              -              -              -              
14             -              -              -              -              -              
9              -              -              -              -              -              
18             -              -              -              -              -              
11             -              -              -              -              -              
17             -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
8              -              -              -              -              -              
8              -              -              -              -              -              
8              -              -              -              -              -              
7              -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
9              -              -              -              -              -              
8              -              -              -              -              -              
9              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
3              -              -              -              -              -              
6              -              -              -              -              -              
6              -              -              -              -              -              
3              -              -              -              -              -              
-              
