CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
8              3              18             0              0              0              
0              3              18             -              12             0              
7              0              18             -              13             0              
2              8              12             -              19             -              
6              7              21             -              17             -              
8              7              6              -              -              -              
0              8              9              -              -              -              
9              7              9              -              -              -              
0              9              6              -              -              -              
0              7              6              -              -              -              
1              6              16             -              -              -              
6              11             3              -              -              -              
8              4              6              -              -              -              
16             7              7              -              -              -              
2              4              6              -              -              -              
8              4              7              -              -              -              
0              6              6              -              -              -              
5              8              4              -              -              -              
2              6              6              -              -              -              
6              6              6              -              -              -              
0              4              6              -              -              -              
5              3              5              -              -              -              
15             0              7              -              -              -              
15             5              7              -              -              -              
0              9              3              -              -              -              
11             6              3              -              -              -              
0              9              5              -              -              -              
12             9              5              -              -              -              
11             9              3              -              -              -              
11             9              2              -              -              -              
7              2              0              -              -              -              
8              8              3              -              -              -              
9              9              4              -              -              -              
0              8              5              -              -              -              
0              9              4              -              -              -              
3              0              3              -              -              -              
7              8              1              -              -              -              
18             0              3              -              -              -              
15             6              3              -              -              -              
12             6              3              -              -              -              
9              6              2              -              -              -              
19             2              3              -              -              -              
15             9              4              -              -              -              
6              12             1              -              -              -              
0              5              8              -              -              -              
0              5              5              -              -              -              
0              2              3              -              -              -              
0              0              3              -              -              -              
3              5              3              -              -              -              
13             9              3              -              -              -              
6              3              4              -              -              -              
9              3              5              -              -              -              
0              9              4              -              -              -              
0              5              2              -              -              -              
0              6              3              -              -              -              
0              0              3              -              -              -              
0              0              5              -              -              -              
2              0              1              -              -              -              
3              11             3              -              -              -              
3              14             3              -              -              -              
2              11             12             -              -              -              
0              1              -              -              -              -              
0              8              -              -              -              -              
0              10             -              -              -              -              
1              3              -              -              -              -              
3              0              -              -              -              -              
0              6              -              -              -              -              
7              0              -              -              -              -              
0              3              -              -              -              -              
0              0              -              -              -              -              
0              11             -              -              -              -              
0              10             -              -              -              -              
2              11             -              -              -              -              
1              4              -              -              -              -              
0              4              -              -              -              -              
0              1              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
4              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
3              -              -              -              -              -              
4              -              -              -              -              -              
2              -              -              -              -              -              
8              -              -              -              -              -              
2              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
-              
