CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
21             30             6              8              2              7              
6              9              5              -              8              12             
17             24             4              -              6              13             
19             12             8              -              16             -              
26             9              3              -              14             -              
24             9              2              -              -              -              
6              8              3              -              -              -              
22             9              5              -              -              -              
6              10             2              -              -              -              
6              9              6              -              -              -              
4              9              12             -              -              -              
19             8              1              -              -              -              
22             6              9              -              -              -              
24             9              6              -              -              -              
9              16             6              -              -              -              
27             6              9              -              -              -              
8              6              3              -              -              -              
24             10             9              -              -              -              
15             8              5              -              -              -              
24             10             3              -              -              -              
9              9              3              -              -              -              
9              6              1              -              -              -              
22             3              0              -              -              -              
30             7              10             -              -              -              
16             12             13             -              -              -              
23             9              6              -              -              -              
12             12             8              -              -              -              
30             12             6              -              -              -              
35             12             10             -              -              -              
27             12             10             -              -              -              
24             5              9              -              -              -              
20             8              9              -              -              -              
9              9              11             -              -              -              
13             11             12             -              -              -              
30             12             10             -              -              -              
19             9              7              -              -              -              
17             10             7              -              -              -              
33             3              7              -              -              -              
32             9              10             -              -              -              
22             9              8              -              -              -              
18             9              6              -              -              -              
39             5              9              -              -              -              
27             12             13             -              -              -              
21             13             1              -              -              -              
12             22             29             -              -              -              
15             40             17             -              -              -              
12             16             20             -              -              -              
12             4              21             -              -              -              
16             7              19             -              -              -              
27             17             23             -              -              -              
18             9              23             -              -              -              
29             6              19             -              -              -              
5              3              23             -              -              -              
3              18             23             -              -              -              
3              16             25             -              -              -              
21             0              38             -              -              -              
20             5              26             -              -              -              
17             3              28             -              -              -              
17             27             18             -              -              -              
17             23             30             -              -              -              
16             27             3              -              -              -              
21             3              -              -              -              -              
10             20             -              -              -              -              
14             13             -              -              -              -              
14             7              -              -              -              -              
17             4              -              -              -              -              
6              11             -              -              -              -              
18             1              -              -              -              -              
11             11             -              -              -              -              
24             1              -              -              -              -              
8              14             -              -              -              -              
17             6              -              -              -              -              
23             9              -              -              -              -              
16             6              -              -              -              -              
27             10             -              -              -              -              
19             4              -              -              -              -              
9              -              -              -              -              -              
11             -              -              -              -              -              
33             -              -              -              -              -              
14             -              -              -              -              -              
20             -              -              -              -              -              
15             -              -              -              -              -              
8              -              -              -              -              -              
21             -              -              -              -              -              
22             -              -              -              -              -              
6              -              -              -              -              -              
25             -              -              -              -              -              
11             -              -              -              -              -              
8              -              -              -              -              -              
10             -              -              -              -              -              
13             -              -              -              -              -              
5              -              -              -              -              -              
14             -              -              -              -              -              
1              -              -              -              -              -              
12             -              -              -              -              -              
13             -              -              -              -              -              
13             -              -              -              -              -              
26             -              -              -              -              -              
0              -              -              -              -              -              
25             -              -              -              -              -              
17             -              -              -              -              -              
6              -              -              -              -              -              
11             -              -              -              -              -              
18             -              -              -              -              -              
21             -              -              -              -              -              
12             -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
5              -              -              -              -              -              
4              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
4              -              -              -              -              -              
6              -              -              -              -              -              
2              -              -              -              -              -              
2              -              -              -              -              -              
11             -              -              -              -              -              
6              -              -              -              -              -              
17             -              -              -              -              -              
11             -              -              -              -              -              
9              -              -              -              -              -              
11             -              -              -              -              -              
11             -              -              -              -              -              
-              
