CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
8              0              0              0              0              0              
0              3              0              -              6              0              
7              0              0              -              6              0              
2              7              0              -              5              -              
6              6              3              -              3              -              
8              6              0              -              -              -              
0              5              0              -              -              -              
9              6              0              -              -              -              
0              7              0              -              -              -              
0              6              0              -              -              -              
1              5              9              -              -              -              
6              5              0              -              -              -              
8              3              0              -              -              -              
16             6              0              -              -              -              
2              3              0              -              -              -              
8              3              0              -              -              -              
0              0              0              -              -              -              
5              7              0              -              -              -              
2              5              0              -              -              -              
6              6              0              -              -              -              
0              3              0              -              -              -              
5              3              0              -              -              -              
15             0              0              -              -              -              
15             5              0              -              -              -              
0              9              3              -              -              -              
11             6              3              -              -              -              
0              9              5              -              -              -              
12             9              4              -              -              -              
11             9              3              -              -              -              
11             9              2              -              -              -              
6              2              0              -              -              -              
8              7              2              -              -              -              
9              6              4              -              -              -              
0              8              5              -              -              -              
0              9              4              -              -              -              
3              0              1              -              -              -              
7              7              1              -              -              -              
18             0              3              -              -              -              
15             6              3              -              -              -              
12             6              3              -              -              -              
9              6              2              -              -              -              
19             2              3              -              -              -              
15             9              4              -              -              -              
6              12             1              -              -              -              
0              4              7              -              -              -              
0              5              4              -              -              -              
0              2              2              -              -              -              
0              0              2              -              -              -              
3              2              2              -              -              -              
13             6              2              -              -              -              
6              3              4              -              -              -              
9              3              2              -              -              -              
0              0              2              -              -              -              
0              2              1              -              -              -              
0              3              3              -              -              -              
0              0              3              -              -              -              
0              0              3              -              -              -              
0              0              0              -              -              -              
3              9              2              -              -              -              
0              11             0              -              -              -              
0              9              0              -              -              -              
0              0              -              -              -              -              
0              8              -              -              -              -              
0              10             -              -              -              -              
1              3              -              -              -              -              
3              0              -              -              -              -              
0              5              -              -              -              -              
0              0              -              -              -              -              
0              3              -              -              -              -              
0              0              -              -              -              -              
0              5              -              -              -              -              
0              4              -              -              -              -              
2              6              -              -              -              -              
1              3              -              -              -              -              
0              4              -              -              -              -              
0              1              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
4              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
3              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
1              -              -              -              -              -              
1              -              -              -              -              -              
1              -              -              -              -              -              
1              -              -              -              -              -              
3              -              -              -              -              -              
1              -              -              -              -              -              
1              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
2              -              -              -              -              -              
2              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
0              -              -              -              -              -              
-              
