CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
26             92             70             29             51             4              
6              79             61             -              27             13             
18             78             65             -              22             12             
25             77             67             -              39             -              
16             71             54             -              39             -              
15             75             33             -              -              -              
42             77             50             -              -              -              
15             68             37             -              -              -              
41             76             29             -              -              -              
36             72             56             -              -              -              
46             71             61             -              -              -              
23             72             44             -              -              -              
20             70             58             -              -              -              
15             69             55             -              -              -              
13             64             36             -              -              -              
18             66             58             -              -              -              
15             82             39             -              -              -              
21             68             60             -              -              -              
18             68             58             -              -              -              
14             71             48             -              -              -              
18             73             27             -              -              -              
27             69             62             -              -              -              
16             69             40             -              -              -              
11             57             52             -              -              -              
18             81             33             -              -              -              
18             67             36             -              -              -              
26             83             34             -              -              -              
20             76             45             -              -              -              
23             74             42             -              -              -              
14             83             45             -              -              -              
17             58             43             -              -              -              
16             93             44             -              -              -              
25             88             40             -              -              -              
19             84             38             -              -              -              
12             88             45             -              -              -              
23             57             39             -              -              -              
18             74             36             -              -              -              
9              90             39             -              -              -              
12             75             32             -              -              -              
19             86             45             -              -              -              
15             87             40             -              -              -              
9              75             44             -              -              -              
9              76             46             -              -              -              
15             88             39             -              -              -              
12             77             40             -              -              -              
21             49             46             -              -              -              
18             73             38             -              -              -              
29             52             32             -              -              -              
26             58             41             -              -              -              
31             68             42             -              -              -              
38             76             34             -              -              -              
23             82             45             -              -              -              
10             79             34             -              -              -              
12             86             32             -              -              -              
15             79             36             -              -              -              
11             69             43             -              -              -              
16             74             40             -              -              -              
17             83             42             -              -              -              
22             83             36             -              -              -              
17             76             36             -              -              -              
16             83             56             -              -              -              
13             68             -              -              -              -              
18             61             -              -              -              -              
9              79             -              -              -              -              
14             66             -              -              -              -              
15             60             -              -              -              -              
14             55             -              -              -              -              
22             63             -              -              -              -              
38             65             -              -              -              -              
25             57             -              -              -              -              
36             54             -              -              -              -              
24             52             -              -              -              -              
22             72             -              -              -              -              
33             73             -              -              -              -              
15             53             -              -              -              -              
19             59             -              -              -              -              
35             -              -              -              -              -              
27             -              -              -              -              -              
24             -              -              -              -              -              
24             -              -              -              -              -              
20             -              -              -              -              -              
21             -              -              -              -              -              
31             -              -              -              -              -              
26             -              -              -              -              -              
34             -              -              -              -              -              
18             -              -              -              -              -              
20             -              -              -              -              -              
32             -              -              -              -              -              
35             -              -              -              -              -              
37             -              -              -              -              -              
31             -              -              -              -              -              
39             -              -              -              -              -              
29             -              -              -              -              -              
28             -              -              -              -              -              
14             -              -              -              -              -              
27             -              -              -              -              -              
17             -              -              -              -              -              
14             -              -              -              -              -              
24             -              -              -              -              -              
21             -              -              -              -              -              
20             -              -              -              -              -              
37             -              -              -              -              -              
22             -              -              -              -              -              
23             -              -              -              -              -              
20             -              -              -              -              -              
21             -              -              -              -              -              
32             -              -              -              -              -              
33             -              -              -              -              -              
28             -              -              -              -              -              
32             -              -              -              -              -              
24             -              -              -              -              -              
20             -              -              -              -              -              
31             -              -              -              -              -              
27             -              -              -              -              -              
26             -              -              -              -              -              
28             -              -              -              -              -              
20             -              -              -              -              -              
15             -              -              -              -              -              
20             -              -              -              -              -              
19             -              -              -              -              -              
25             -              -              -              -              -              
29             -              -              -              -              -              
20             -              -              -              -              -              
-              
