Group1         Group2         
1978           1903           
1885           1993           
1889           1664           
1930           1826           
1900           1841           
2005           1765           
1945           1809           
1874           1804           
1921           1821           
1893           1837           
1938           1814           
1943           1757           
1851           1783           
1556           1828           
1851           1751           
1840           1785           
1997           1817           
2074           1807           
1855           1798           
1818           1781           
1768           1832           
1715           1874           
1852           1845           
1675           1779           
1834           1892           
1859           1819           
1671           1856           
1886           1855           
1876           1872           
1790           1878           
1903           1689           
1873           1836           
1835           1791           
1822           1860           
1919           1888           
1965           1876           
1915           1811           
1400           1789           
1380           1829           
1779           1886           
1539           1654           
1392           1717           
1393           1860           
1731           1969           
1240           1690           
1181           1774           
1281           1739           
1265           1755           
1887           1528           
1918           1779           
1912           1799           
1589           1946           
1629           1676           
1638           1656           
1577           1649           
1661           1651           
1700           1790           
1617           1770           
1643           1735           
1749           1768           
1576           1737           
1742           1803           
1601           1667           
1688           1734           
1713           1653           
1566           1534           
1723           1594           
1685           1670           
1926           1670           
1778           1588           
1805           1756           
1813           1708           
1804           1691           
1726           1725           
1677           1779           
1748           1686           
1693           1608           
1809           1693           
1753           1606           
1697           1569           
1591           1598           
1739           1491           
1641           1653           
1650           1667           
1703           1681           
1678           1767           
1368           1752           
1861           1689           
1744           1645           
1751           1557           
1819           1552           
1823           1648           
1786           1772           
1791           1563           
1710           1683           
1808           1660           
1715           1584           
1473           1614           
1738           1671           
1799           1465           
1660           1554           
1800           1412           
1809           1347           
1627           1640           
1779           1589           
1695           1586           
1949           1654           
1940           1679           
1984           1476           
1939           1551           
1824           1459           
1867           1403           
1897           1549           
1946           1448           
1793           1531           
1841           1464           
1869           1381           
1878           1387           
1925           1468           
1967           1590           
1840           1459           
1869           1602           
1743           1577           
1906           1639           
1918           1684           
1838           1569           
1773           1590           
1877           1619           
1880           1552           
1856           1529           
1779           1451           
1913           1515           
-              1506           
-              1526           
-              1443           
-              1610           
-              1647           
-              -              
