Group1         Group2         
245            313            
215            347            
234            317            
231            338            
251            329            
252            323            
200            320            
238            323            
203            341            
188            320            
164            325            
239            286            
217            323            
218            322            
208            267            
250            319            
185            304            
240            322            
204            320            
195            247            
180            316            
204            329            
210            306            
228            312            
198            330            
213            325            
179            335            
255            330            
230            343            
223            333            
235            247            
223            327            
169            319            
178            334            
210            337            
232            322            
201            323            
175            307            
187            332            
222            351            
169            313            
152            301            
160            331            
238            350            
136            270            
141            300            
130            257            
130            225            
212            181            
234            234            
214            305            
193            330            
222            285            
224            296            
206            295            
246            265            
254            306            
188            315            
248            326            
252            297            
217            326            
285            350            
162            327            
252            315            
260            294            
231            262            
210            304            
243            314            
250            290            
257            265            
231            301            
246            287            
266            314            
234            313            
237            298            
222            213            
230            190            
220            194            
259            197            
207            57             
236            143            
215            177            
173            167            
210            162            
231            167            
205            232            
215            163            
225            168            
154            151            
218            171            
227            184            
220            151            
206            208            
155            173            
212            220            
248            161            
209            158            
166            162            
143            209            
231            208            
207            223            
216            197            
196            192            
198            218            
250            208            
199            215            
228            213            
231            237            
223            203            
221            198            
206            203            
210            196            
207            204            
219            199            
196            204            
204            188            
204            208            
211            205            
179            62             
185            247            
186            209            
204            225            
180            233            
184            235            
141            239            
161            252            
154            208            
204            254            
199            216            
209            238            
237            242            
249            215            
-              248            
-              222            
-              201            
-              210            
-              175            
-              -              
