Group1         Group2         
2802           2676           
2689           2789           
2690           2387           
2767           2549           
2697           2574           
2867           2481           
2733           2563           
2633           2498           
2730           2539           
2669           2559           
2474           2519           
2734           2465           
2646           2493           
2181           2554           
2545           2463           
2619           2498           
2616           2626           
2955           2516           
2595           2497           
2516           2480           
2437           2562           
2467           2620           
2484           2613           
2353           2485           
2532           2720           
2517           2496           
2347           2662           
2547           2684           
2606           2677           
2460           2698           
2577           2344           
2631           2573           
2532           2523           
2435           2648           
2702           2729           
2798           2572           
2619           2502           
1951           2525           
1883           2637           
2497           2717           
2051           2380           
1931           2420           
1933           2641           
2435           2819           
1685           2292           
1641           2381           
1740           2403           
1727           2431           
2625           2087           
2660           2470           
2685           2552           
2304           2770           
2287           2397           
2325           2376           
2188           2412           
2366           2251           
2368           2573           
2428           2525           
2384           2556           
2440           2527           
2251           2559           
2455           2625           
2320           2367           
2512           2461           
2494           2346           
2305           2218           
2473           2226           
2331           2359           
2813           2362           
2592           2235           
2621           2506           
2560           2410           
2525           2442           
2534           2471           
2347           2467           
2463           2417           
2480           2300           
2570           2444           
2284           2287           
2457           2386           
2156           2208           
2444           2135           
2358           2322           
2127           2280           
2487           2362           
2431           2520           
1917           2442           
2672           2367           
2162           2370           
2454           2183           
2564           2264           
2596           2206           
2513           2490           
2285           2247           
2449           2376           
2665           2324           
2553           2228           
2150           2266           
2194           2394           
2570           2128           
2364           2256           
2580           2129           
2576           1986           
2367           2340           
2403           2306           
2389           2287           
2800           2389           
2777           2412           
2821           2177           
2773           2246           
2606           2199           
2646           2082           
2713           2237           
2799           2118           
2582           2217           
2622           2195           
2689           2071           
2605           2113           
2519           2175           
2594           2327           
2575           2131           
2584           2284           
2429           2260           
2578           2365           
2562           2393           
2586           2298           
2488           2305           
2753           2333           
2733           2220           
2464           2222           
2541           2098           
2736           2177           
-              2080           
-              2175           
-              2039           
-              2351           
-              2346           
-              -              
