Group1         Group2         
611            573            
554            616            
567            521            
591            531            
569            543            
615            535            
534            559            
544            519            
548            543            
524            531            
359            523            
557            519            
561            535            
402            539            
473            542            
549            536            
398            579            
625            527            
496            519            
478            520            
456            562            
539            569            
428            577            
471            518            
481            601            
447            511            
466            592            
447            608            
496            602            
439            596            
448            496            
515            549            
516            534            
424            593            
541            610            
578            489            
551            520            
429            541            
405            599            
510            619            
381            520            
411            523            
399            581            
512            628            
330            450            
339            460            
345            491            
364            507            
499            402            
503            547            
514            556            
522            622            
479            541            
478            534            
421            551            
498            439            
466            602            
573            583            
539            592            
502            544            
472            592            
466            622            
488            516            
603            547            
573            518            
554            506            
491            479            
471            501            
665            508            
565            465            
618            552            
550            513            
521            568            
606            565            
495            521            
524            513            
594            484            
527            523            
383            485            
566            498            
428            435            
551            487            
515            479            
354            438            
590            494            
566            561            
386            498            
580            490            
282            527            
515            467            
539            539            
571            407            
527            535            
316            512            
522            540            
640            465            
607            457            
525            466            
310            509            
556            499            
505            520            
564            526            
604            463            
527            534            
458            544            
527            528            
622            559            
629            559            
606            521            
619            522            
591            534            
572            499            
608            518            
622            493            
571            503            
560            544            
594            523            
498            533            
452            526            
472            562            
539            518            
529            507            
506            514            
450            545            
484            528            
532            561            
514            528            
597            547            
574            490            
452            536            
584            484            
607            498            
-              424            
-              500            
-              426            
-              541            
-              510            
-              -              
