Group1         Group2         
3047           2989           
2904           3136           
2924           2704           
2998           2887           
2948           2903           
3119           2804           
2933           2883           
2871           2821           
2933           2880           
2857           2879           
2638           2844           
2973           2751           
2863           2816           
2399           2876           
2753           2730           
2869           2817           
2801           2930           
3195           2838           
2799           2817           
2711           2727           
2617           2878           
2671           2949           
2694           2919           
2581           2797           
2730           3050           
2730           2821           
2526           2997           
2802           3014           
2836           3020           
2683           3031           
2812           2591           
2854           2900           
2701           2842           
2613           2982           
2912           3066           
3030           2894           
2820           2825           
2126           2832           
2070           2969           
2719           3068           
2220           2693           
2083           2721           
2093           2972           
2673           3169           
1821           2562           
1782           2681           
1870           2660           
1857           2656           
2837           2268           
2894           2704           
2899           2857           
2497           3100           
2509           2682           
2549           2672           
2394           2707           
2612           2516           
2622           2879           
2616           2840           
2632           2882           
2692           2824           
2468           2885           
2740           2975           
2482           2694           
2764           2776           
2754           2640           
2536           2480           
2683           2530           
2574           2673           
3063           2652           
2849           2500           
2852           2807           
2806           2697           
2791           2756           
2768           2784           
2584           2765           
2685           2630           
2710           2490           
2790           2638           
2543           2484           
2664           2443           
2392           2351           
2659           2312           
2531           2489           
2337           2442           
2718           2529           
2636           2752           
2132           2605           
2897           2535           
2316           2521           
2672           2354           
2791           2448           
2816           2357           
2719           2698           
2440           2420           
2661           2596           
2913           2485           
2762           2386           
2316           2428           
2337           2603           
2801           2336           
2571           2479           
2796           2326           
2772           2178           
2565           2558           
2653           2514           
2588           2502           
3028           2602           
3008           2649           
3044           2380           
2994           2444           
2812           2402           
2856           2278           
2920           2441           
3018           2317           
2778           2421           
2826           2383           
2893           2279           
2816           2318           
2698           2237           
2779           2574           
2761           2340           
2788           2509           
2609           2493           
2762           2600           
2703           2632           
2747           2550           
2642           2513           
2957           2587           
2932           2436           
2673           2460           
2778           2340           
2985           2392           
-              2328           
-              2397           
-              2240           
-              2561           
-              2521           
-              -              
