Group1         Group2         
90             53             
74             60             
82             66             
78             64             
80             62             
83             60             
85             63             
81             61             
86             61             
82             65             
66             60             
81             57             
76             63             
58             65             
70             37             
84             58             
69             81             
78             62             
77             64             
78             45             
71             49             
64             53             
63             57             
59             58             
77             69             
65             59             
74             66             
78             70             
67             74             
68             70             
80             60             
71             59             
63             57             
73             67             
88             75             
90             78             
62             60             
44             53             
50             67             
68             62             
51             65             
38             55             
51             68             
66             75             
36             50             
55             51             
54             50             
39             49             
86             57             
97             51             
78             62             
60             66             
53             55             
58             62             
60             61             
64             67             
57             65             
69             64             
67             67             
59             66             
57             67             
63             79             
64             64             
77             70             
72             59             
69             73             
62             51             
60             71             
71             57             
66             68             
71             74             
57             67             
55             67             
71             70             
47             61             
57             78             
66             74             
63             77             
68             69             
70             81             
46             64             
70             66             
63             67             
48             68             
72             69             
62             71             
51             57             
73             63             
51             61             
64             63             
70             54             
71             55             
70             62             
54             55             
70             64             
71             61             
75             69             
57             65             
45             68             
72             47             
47             48             
57             57             
51             53             
52             55             
53             53             
66             60             
69             58             
71             61             
71             62             
70             56             
67             57             
72             56             
72             50             
66             51             
73             53             
66             57             
74             46             
75             53             
45             46             
48             57             
67             55             
72             44             
63             47             
68             47             
40             48             
77             54             
65             49             
114            54             
123            48             
50             47             
54             50             
66             46             
-              34             
-              39             
-              44             
-              71             
-              62             
-              -              
