Group1         Group2         
17             32             
6              23             
3              18             
10             24             
3              26             
9              22             
3              23             
3              21             
2              25             
2              21             
4              22             
12             17             
9              26             
6              25             
5              13             
3              20             
2              14             
13             19             
14             22             
8              9              
1              22             
10             20             
3              16             
18             13             
10             18             
6              25             
7              20             
10             17             
11             21             
6              19             
9              11             
14             26             
8              17             
12             31             
16             21             
14             23             
13             23             
15             15             
18             19             
11             25             
6              20             
12             18             
4              20             
14             16             
9              18             
18             18             
6              18             
7              9              
6              15             
6              13             
10             16             
0              18             
16             21             
12             12             
9              12             
15             12             
17             20             
9              22             
21             11             
21             13             
18             11             
14             23             
2              26             
19             21             
20             21             
15             17             
15             34             
19             21             
27             20             
18             15             
30             14             
21             13             
24             13             
33             19             
20             22             
14             16             
33             9              
21             9              
26             9              
24             0              
21             9              
28             16             
14             7              
20             10             
29             7              
17             16             
22             11             
24             6              
24             9              
30             18             
21             11             
20             25             
24             10             
24             13             
20             29             
23             19             
19             12             
17             18             
23             4              
22             8              
23             10             
19             9              
16             12             
14             3              
20             3              
21             3              
14             3              
14             14             
12             6              
13             5              
15             0              
12             6              
13             5              
13             3              
12             8              
12             3              
11             6              
12             2              
16             4              
13             6              
17             15             
19             11             
18             13             
16             13             
13             11             
13             7              
15             10             
12             7              
13             6              
22             5              
0              8              
0              10             
-              6              
-              17             
-              8              
-              8              
-              18             
-              -              
