Group1         Group2         
229            204            
206            245            
217            192            
227            209            
223            205            
226            210            
197            217            
217            205            
206            207            
201            209            
115            212            
217            201            
220            216            
159            208            
178            211            
223            202            
141            217            
231            204            
179            200            
179            195            
214            222            
220            221            
136            216            
202            221            
182            232            
146            204            
173            233            
164            234            
199            238            
163            230            
176            185            
175            209            
194            212            
179            235            
193            235            
261            171            
215            199            
168            212            
171            230            
198            233            
144            220            
180            226            
168            230            
181            224            
105            173            
108            197            
123            184            
143            206            
192            177            
211            225            
183            225            
200            246            
154            226            
159            202            
148            221            
161            192            
151            227            
212            220            
188            226            
180            208            
171            226            
149            226            
179            201            
218            203            
203            199            
195            203            
173            172            
167            185            
224            195            
202            198            
189            202            
202            193            
182            229            
190            199            
144            185            
178            215            
178            204            
167            213            
171            207            
207            192            
172            195            
189            202            
191            196            
148            200            
209            211            
186            240            
126            202            
179            186            
88             225            
167            201            
176            238            
192            180            
175            214            
106            225            
165            217            
209            193            
198            179            
187            194            
90             191            
194            227            
168            221            
194            232            
182            201            
176            209            
170            223            
204            212            
232            219            
239            231            
226            202            
225            217            
212            217            
229            200            
226            215            
230            190            
218            196            
198            229            
219            212            
181            194            
199            226            
200            247            
197            229            
199            233            
194            235            
167            238            
198            232            
195            242            
188            238            
202            241            
206            214            
168            240            
217            213            
210            223            
-              191            
-              220            
-              192            
-              196            
-              200            
-              -              
