Group1         Group2         
70             37             
64             42             
62             43             
59             44             
61             43             
66             42             
72             42             
64             41             
72             41             
69             41             
54             41             
61             39             
60             43             
49             43             
54             28             
64             39             
57             55             
63             41             
62             44             
64             33             
56             37             
54             38             
45             39             
49             41             
64             48             
49             41             
62             47             
60             49             
53             50             
55             49             
63             41             
52             41             
53             39             
60             45             
64             51             
63             51             
50             39             
36             35             
38             46             
53             43             
39             42             
32             40             
42             49             
50             48             
24             40             
34             27             
39             32             
29             34             
70             32             
76             30             
60             41             
48             49             
39             40             
41             44             
43             41             
51             46             
48             39             
60             42             
56             50             
53             48             
50             50             
49             47             
50             41             
63             46             
59             39             
56             43             
47             30             
41             43             
62             34             
55             47             
67             39             
50             39             
50             39             
68             46             
41             37             
49             44             
63             40             
56             43             
58             40             
61             57             
41             34             
59             36             
54             38             
39             35             
60             39             
59             42             
44             35             
64             33             
45             40             
55             44             
61             29             
62             35             
59             34             
45             27             
60             39             
59             43             
66             42             
51             41             
39             38             
55             33             
37             30             
51             37             
42             37             
47             41             
45             43             
56             49             
61             39             
63             42             
63             42             
60             39             
58             42             
59             40             
62             39             
56             34             
64             32             
59             35             
66             33             
65             36             
41             30             
42             42             
54             38             
59             27             
52             30             
60             30             
40             30             
65             34             
56             30             
91             33             
99             28             
41             31             
46             34             
58             31             
-              23             
-              25             
-              28             
-              41             
-              41             
-              -              
