Group1         Group2         
16             9              
18             9              
20             12             
20             9              
20             9              
19             8              
20             8              
21             8              
18             9              
19             7              
13             7              
21             8              
18             9              
13             7              
15             4              
22             9              
10             16             
20             9              
11             9              
16             8              
11             8              
15             9              
16             11             
13             10             
14             9              
17             8              
15             9              
19             9              
15             9              
15             9              
19             10             
12             10             
18             9              
13             6              
23             9              
14             15             
13             9              
12             9              
11             9              
11             7              
6              11             
7              13             
16             9              
12             9              
3              8              
6              4              
6              6              
5              6              
17             4              
18             3              
15             9              
8              10             
10             11             
11             8              
10             6              
11             15             
13             9              
14             10             
12             11             
13             11             
13             11             
12             17             
9              10             
17             14             
18             8              
17             15             
10             6              
11             17             
12             6              
11             16             
18             3              
15             3              
13             6              
18             6              
13             8              
15             7              
18             5              
19             4              
14             3              
15             9              
13             6              
18             9              
14             9              
13             6              
16             6              
14             3              
7              6              
16             6              
9              5              
16             6              
16             3              
15             3              
16             3              
8              1              
14             9              
12             6              
16             7              
13             6              
8              5              
16             5              
10             3              
12             3              
8              2              
10             6              
13             5              
16             6              
15             4              
16             6              
15             7              
11             5              
13             6              
13             6              
13             5              
11             4              
13             5              
13             5              
15             4              
13             5              
16             1              
17             3              
9              4              
14             0              
11             2              
16             0              
13             2              
12             6              
4              2              
16             5              
18             0              
3              5              
13             4              
17             3              
-              2              
-              1              
-              2              
-              6              
-              0              
-              -              
