Group1         Group2         
721            583            
672            694            
661            580            
670            610            
687            618            
719            599            
652            631            
661            615            
666            615            
646            616            
622            621            
680            610            
657            634            
487            627            
644            592            
668            600            
617            593            
667            627            
621            601            
633            598            
650            616            
640            605            
504            629            
580            639            
618            643            
563            618            
597            642            
538            632            
632            658            
570            635            
611            600            
580            596            
660            587            
616            661            
578            644            
723            536            
695            605            
549            634            
558            642            
625            661            
438            597            
562            622            
548            641            
618            670            
417            568            
430            584            
489            594            
505            611            
627            584            
665            637            
642            636            
607            691            
549            620            
570            610            
547            604            
575            620            
580            634            
666            641            
614            640            
617            605            
586            641            
568            643            
598            606            
706            611            
684            601            
644            570            
586            534            
631            570            
675            605            
609            588            
662            617            
582            604            
572            633            
646            611            
538            580            
637            546            
634            553            
599            561            
568            563            
584            546            
511            570            
575            602            
576            583            
499            561            
627            603            
615            642            
438            593            
646            576            
535            607            
619            567            
626            600            
662            538            
631            597            
535            621            
617            602            
667            581            
647            556            
593            594            
524            595            
646            627            
531            647            
648            651            
640            591            
574            635            
609            637            
616            636            
652            624            
650            631            
649            568            
650            605            
617            563            
659            532            
646            584            
639            543            
635            556            
581            606            
659            562            
652            537            
649            573            
655            663            
637            625            
634            622            
611            630            
631            640            
542            634            
673            641            
639            627            
675            654            
689            597            
563            619            
646            600            
665            584            
-              548            
-              590            
-              543            
-              596            
-              594            
-              -              
