Group1         Group2         
54             28             
46             33             
42             31             
39             35             
41             34             
47             34             
52             34             
43             33             
54             32             
50             34             
41             34             
40             31             
42             34             
36             36             
39             24             
42             30             
47             39             
43             32             
51             35             
48             25             
45             29             
39             29             
29             28             
36             31             
50             39             
32             33             
47             38             
41             40             
38             41             
40             40             
44             31             
40             31             
35             30             
47             39             
41             42             
49             36             
37             30             
24             26             
27             37             
42             36             
33             31             
25             27             
26             40             
38             39             
21             32             
28             23             
33             26             
24             28             
53             28             
58             27             
45             32             
40             39             
29             29             
30             36             
33             35             
40             31             
35             30             
46             32             
44             39             
40             37             
37             39             
37             30             
41             31             
46             32             
41             31             
39             28             
37             24             
30             26             
50             28             
44             31             
49             36             
35             36             
37             33             
50             40             
28             29             
34             37             
45             35             
37             39             
44             37             
46             48             
28             28             
41             27             
40             29             
26             29             
44             33             
45             39             
37             29             
48             27             
36             35             
39             38             
45             26             
47             32             
43             31             
37             26             
46             30             
47             37             
50             35             
38             35             
31             33             
39             28             
27             27             
39             34             
34             35             
37             35             
32             38             
40             43             
46             35             
47             36             
48             35             
49             34             
45             36             
46             34             
49             34             
45             30             
51             27             
46             30             
51             29             
52             31             
25             29             
25             39             
45             34             
45             27             
41             28             
44             30             
27             28             
53             28             
52             28             
75             28             
81             28             
38             26             
33             30             
41             28             
-              21             
-              24             
-              26             
-              35             
-              41             
-              -              
