Group1         Group2         
20             16             
10             18             
20             23             
19             20             
19             19             
17             18             
13             21             
17             20             
14             20             
13             24             
12             19             
20             18             
16             20             
9              22             
16             9              
20             19             
12             26             
15             21             
15             20             
14             12             
15             12             
10             15             
18             18             
10             17             
13             21             
16             18             
12             19             
18             21             
14             24             
13             21             
17             19             
19             18             
10             18             
13             22             
24             24             
27             27             
12             21             
8              18             
12             21             
15             19             
12             23             
6              15             
9              19             
16             27             
12             10             
21             24             
15             18             
10             15             
16             25             
21             21             
18             21             
12             17             
14             15             
17             18             
17             20             
13             21             
9              26             
9              22             
11             17             
6              18             
7              17             
14             32             
14             23             
14             24             
13             20             
13             30             
15             21             
19             28             
9              23             
11             21             
4              35             
7              28             
5              28             
3              24             
6              24             
8              34             
3              34             
7              34             
10             29             
9              24             
5              30             
11             30             
9              29             
9              33             
12             30             
3              29             
7              22             
9              30             
6              21             
9              19             
9              25             
9              20             
11             28             
9              28             
10             25             
12             18             
9              27             
6              24             
6              30             
17             14             
10             18             
6              20             
9              16             
5              14             
8              10             
10             11             
8              19             
8              19             
8              20             
10             17             
9              15             
13             16             
10             11             
10             17             
9              21             
7              22             
8              13             
10             17             
4              16             
6              15             
13             17             
13             17             
11             17             
8              17             
0              18             
12             20             
9              19             
23             21             
24             20             
9              16             
8              16             
8              15             
-              11             
-              14             
-              16             
-              30             
-              21             
-              -              
