Group1         Group2         
3              12             
10             12             
7              12             
7              12             
9              12             
5              12             
3              12             
7              12             
3              12             
3              12             
3              12             
4              12             
4              12             
9              12             
5              14             
7              12             
3              13             
3              12             
4              12             
4              12             
3              13             
3              14             
3              13             
6              11             
3              12             
4              12             
3              14             
3              16             
5              16             
3              15             
4              12             
6              15             
6              15             
3              14             
9              14             
5              10             
8              13             
4              12             
5              17             
8              14             
6              17             
3              14             
4              14             
9              11             
3              16             
3              13             
3              10             
1              8              
3              9              
3              10             
3              11             
3              12             
3              13             
1              11             
5              12             
5              9              
9              12             
4              13             
7              17             
10             17             
10             17             
5              12             
3              15             
3              13             
4              13             
4              10             
4              13             
6              15             
7              14             
12             12             
0              15             
11             13             
14             12             
0              9              
9              14             
7              0              
0              0              
0              0              
5              0              
7              0              
7              0              
8              2              
0              0              
6              0              
7              8              
2              0              
6              2              
6              9              
6              4              
0              1              
6              6              
7              5              
8              8              
8              3              
7              9              
11             4              
9              1              
6              4              
6              6              
9              20             
0              17             
8              17             
14             15             
4              15             
9              16             
7              19             
8              18             
6              17             
6              19             
6              17             
10             18             
9              16             
5              22             
7              19             
8              15             
10             18             
5              19             
6              17             
3              6              
3              23             
7              17             
7              17             
7              17             
11             19             
0              16             
6              16             
5              16             
6              16             
6              20             
8              14             
7              12             
7              14             
-              17             
-              17             
-              14             
-              9              
-              0              
-              -              
