Group1         Group2         
446            372            
429            428            
410            356            
411            366            
412            383            
458            364            
391            367            
385            362            
407            384            
379            374            
312            349            
399            355            
382            369            
312            387            
370            356            
390            377            
331            395            
454            369            
372            362            
343            315            
295            379            
358            401            
364            407            
323            362            
352            391            
340            357            
318            380            
347            397            
341            381            
329            381            
327            334            
383            379            
340            359            
283            373            
363            392            
382            372            
372            372            
281            384            
258            402            
371            400            
253            331            
250            333            
254            392            
394            429            
255            309            
249            288            
228            319            
238            302            
353            237            
349            316            
386            374            
355            433            
385            346            
390            361            
337            352            
428            280            
407            394            
412            384            
404            375            
407            336            
364            375            
423            470            
359            372            
464            372            
453            364            
427            354            
393            379            
376            380            
504            357            
410            308            
492            366            
372            335            
388            356            
473            392            
378            351            
407            347            
469            314            
413            346            
281            320            
385            252            
307            246            
392            296            
376            300            
228            261            
412            288            
439            334            
303            314            
465            304            
235            300            
399            292            
426            303            
442            240            
392            359            
255            288            
415            362            
493            284            
428            257            
336            277            
270            327            
405            312            
384            349            
422            319            
463            282            
370            370            
328            373            
361            361            
454            377            
461            385            
448            346            
458            339            
426            361            
417            341            
430            340            
455            333            
417            342            
417            343            
434            350            
398            370            
290            269            
308            335            
404            305            
391            317            
373            326            
330            352            
280            345            
344            378            
335            323            
410            364            
376            323            
323            343            
407            312            
434            313            
-              307            
-              318            
-              266            
-              346            
-              308            
-              -              
