Group1         Group2         
28             32             
24             19             
25             42             
32             20             
24             18             
24             19             
31             21             
25             20             
29             14             
31             16             
21             20             
32             26             
34             18             
26             14             
25             38             
26             17             
23             40             
23             18             
26             19             
25             19             
31             23             
24             19             
24             20             
34             23             
25             44             
28             19             
33             41             
30             44             
29             41             
24             41             
29             27             
30             24             
28             26             
20             24             
27             44             
33             42             
23             16             
36             19             
39             18             
20             33             
18             22             
31             26             
39             40             
24             27             
11             29             
6              14             
15             26             
13             12             
28             26             
33             27             
30             16             
27             21             
14             14             
17             24             
17             33             
16             28             
17             13             
20             18             
21             22             
17             25             
16             22             
16             30             
14             28             
20             31             
20             24             
20             32             
17             24             
20             34             
23             27             
16             34             
21             18             
13             20             
22             12             
21             14             
18             14             
20             21             
21             18             
24             17             
18             20             
21             48             
18             14             
22             12             
18             17             
21             15             
22             18             
20             26             
24             13             
27             18             
21             28             
20             24             
29             18             
25             14             
20             22             
32             16             
21             19             
24             24             
27             18             
17             22             
29             18             
19             34             
26             31             
25             33             
22             26             
21             32             
11             27             
12             24             
24             28             
20             31             
26             30             
25             30             
24             37             
26             27             
23             31             
25             33             
26             27             
22             27             
25             31             
18             32             
28             24             
25             44             
20             25             
16             36             
12             42             
60             39             
27             39             
23             43             
27             40             
41             41             
43             41             
16             42             
14             46             
18             39             
-              46             
-              35             
-              43             
-              25             
-              34             
-              -              
