Group1         Group2         
33             59             
18             44             
23             47             
28             47             
19             42             
29             47             
24             54             
22             44             
20             45             
22             42             
12             48             
27             40             
30             37             
16             39             
15             50             
20             44             
12             36             
27             39             
24             43             
32             62             
17             48             
26             50             
15             48             
16             29             
24             51             
28             41             
32             51             
27             51             
28             54             
24             51             
27             45             
36             40             
30             39             
20             51             
42             54             
25             39             
29             37             
30             36             
24             48             
22             52             
42             36             
27             41             
24             38             
24             65             
9              43             
6              50             
3              39             
9              47             
33             21             
26             43             
33             40             
35             43             
39             39             
35             41             
26             42             
16             33             
15             54             
35             59             
36             50             
16             47             
17             50             
24             36             
29             35             
32             42             
28             30             
28             26             
27             38             
18             41             
52             31             
52             36             
24             58             
52             66             
44             56             
26             64             
47             59             
38             34             
27             35             
36             43             
35             37             
49             42             
36             47             
49             45             
33             44             
35             39             
40             42             
24             49             
28             38             
28             41             
9              42             
41             30             
24             51             
23             25             
36             36             
13             44             
31             28             
47             33             
52             42             
36             40             
7              63             
47             30             
35             37             
34             37             
37             35             
37             42             
47             34             
44             42             
35             39             
29             37             
34             37             
37             35             
36             38             
20             34             
37             38             
36             38             
26             35             
30             36             
22             38             
16             41             
22             33             
23             44             
19             37             
22             37             
17             37             
29             40             
43             33             
27             31             
29             36             
34             38             
36             31             
17             33             
45             30             
47             32             
-              27             
-              33             
-              29             
-              47             
-              40             
-              -              
