Group1         Group2         
14             6              
6              11             
15             4              
5              20             
14             18             
12             15             
10             17             
16             15             
9              22             
12             16             
7              15             
9              16             
11             13             
27             12             
7              4              
16             9              
9              7              
16             15             
8              12             
15             14             
9              20             
10             13             
17             6              
15             10             
7              11             
25             16             
3              11             
21             11             
12             11             
26             10             
21             14             
11             16             
12             12             
6              17             
12             11             
6              2              
9              17             
30             3              
17             11             
17             24             
15             13             
31             5              
32             11             
9              15             
0              5              
0              8              
0              12             
1              4              
21             8              
34             12             
18             14             
18             11             
7              18             
5              8              
5              11             
7              3              
10             3              
22             3              
17             17             
9              21             
9              17             
9              6              
11             14             
7              18             
10             4              
9              0              
6              14             
20             2              
9              4              
1              0              
6              19             
2              25             
6              20             
7              11             
0              14             
11             18             
6              23             
13             22             
9              15             
9              21             
4              17             
6              21             
13             16             
7              18             
8              9              
8              22             
9              16             
11             12             
19             11             
8              9              
12             7              
11             12             
8              4              
16             7              
7              6              
7              12             
18             20             
18             12             
17             22             
14             24             
10             23             
18             19             
11             19             
21             11             
6              10             
6              8              
10             11             
11             7              
11             18             
10             15             
10             12             
12             14             
9              16             
9              19             
13             16             
10             13             
17             15             
7              15             
6              8              
3              33             
6              23             
6              19             
5              14             
3              17             
3              16             
12             19             
13             19             
24             19             
19             13             
0              23             
0              15             
0              23             
-              9              
-              17             
-              24             
-              7              
-              15             
-              -              
