Group1         Group2         
45             127            
29             113            
36             109            
38             111            
36             113            
31             105            
62             109            
32             100            
60             110            
58             104            
66             105            
35             104            
32             103            
47             100            
29             80             
35             99             
40             114            
45             106            
36             98             
39             103            
39             98             
41             92             
40             100            
32             88             
38             110            
44             103            
41             111            
44             104            
35             105            
43             113            
43             82             
25             122            
44             115            
38             113            
34             113            
35             80             
33             109            
45             113            
35             108            
37             118            
24             107            
42             104            
44             105            
34             120            
27             87             
45             90             
36             107            
54             80             
55             83             
64             95             
62             105            
46             115            
33             118            
29             118            
34             114            
37             94             
35             110            
67             112            
66             120            
39             110            
37             120            
33             100            
52             95             
33             107            
39             94             
28             73             
36             85             
47             85             
56             93             
49             76             
60             94             
49             92             
46             112            
55             102            
33             91             
36             77             
56             72             
61             78             
48             78             
36             78             
43             54             
35             71             
58             55             
59             48             
55             72             
38             81             
46             75             
49             76             
60             72             
52             51             
55             86             
59             59             
49             75             
56             76             
33             66             
46             48             
58             94             
53             59             
57             82             
52             58             
45             57             
66             54             
42             65             
60             55             
39             57             
38             56             
63             61             
63             48             
56             54             
62             61             
54             51             
45             54             
61             56             
54             53             
51             62             
53             57             
48             62             
43             63             
52             49             
49             64             
49             75             
57             60             
45             47             
52             59             
72             60             
64             55             
61             64             
66             54             
66             47             
24             57             
40             70             
50             62             
-              63             
-              61             
-              68             
-              74             
-              79             
-              -              
