Group1         Group2         
23             55             
15             54             
19             39             
21             46             
19             43             
19             43             
40             42             
16             40             
36             42             
34             41             
46             42             
19             36             
17             39             
24             40             
16             32             
18             37             
24             36             
26             36             
17             39             
17             44             
12             43             
18             41             
21             44             
17             38             
16             37             
23             41             
20             36             
27             35             
18             36             
19             36             
21             38             
10             52             
29             42             
15             44             
13             39             
20             36             
22             40             
24             51             
27             36             
22             38             
15             35             
24             46             
21             37             
18             39             
12             46             
18             39             
15             44             
30             26             
24             39             
30             41             
35             47             
25             55             
13             42             
12             49             
14             45             
20             33             
15             39             
31             39             
22             37             
19             36             
20             37             
15             37             
23             51             
13             44             
18             44             
11             33             
20             45             
18             39             
34             46             
30             36             
30             25             
30             26             
31             32             
28             30             
15             35             
16             30             
26             17             
22             21             
30             29             
21             24             
21             15             
19             13             
33             11             
34             9              
27             36             
15             28             
19             26             
24             37             
26             25             
33             18             
24             42             
32             28             
28             33             
25             31             
14             24             
27             12             
18             28             
18             12             
27             30             
22             10             
18             12             
32             9              
21             19             
19             16             
21             17             
14             15             
33             12             
32             12             
32             9              
34             17             
30             12             
24             12             
36             13             
30             9              
27             18             
28             15             
18             16             
24             15             
28             13             
26             14             
30             19             
33             16             
28             9              
34             17             
36             16             
15             10             
15             18             
26             11             
26             13             
6              14             
21             22             
30             16             
-              20             
-              14             
-              14             
-              29             
-              22             
-              -              
