Group1         Group2         
0              9              
0              14             
4              8              
0              17             
4              13             
0              16             
5              15             
3              15             
1              19             
1              14             
0              15             
0              11             
0              15             
0              13             
0              11             
4              14             
3              7              
2              14             
0              14             
0              13             
0              20             
3              16             
0              10             
0              10             
0              12             
5              10             
0              12             
3              9              
0              18             
7              12             
3              19             
0              13             
0              9              
0              16             
3              12             
0              9              
0              16             
0              9              
0              12             
0              24             
0              19             
0              12             
0              8              
0              9              
0              5              
0              6              
0              11             
0              12             
5              3              
6              11             
0              14             
1              13             
2              6              
3              4              
1              8              
2              6              
4              9              
0              9              
8              8              
6              11             
6              8              
6              10             
0              10             
5              10             
6              9              
2              6              
0              9              
9              14             
5              9              
9              11             
3              9              
10             11             
10             9              
3              9              
12             10             
3              11             
0              11             
4              8              
0              9              
4              0              
6              11             
0              3              
2              7              
7              10             
2              13             
4              12             
0              9              
3              15             
0              8              
2              15             
1              13             
4              18             
1              12             
0              15             
2              12             
3              15             
0              9              
0              9              
0              17             
0              8              
3              10             
6              5              
3              8              
6              0              
11             0              
0              0              
4              0              
5              0              
5              2              
4              0              
4              0              
7              0              
6              0              
4              1              
4              2              
5              0              
5              0              
0              1              
2              0              
4              11             
2              5              
2              6              
0              5              
0              6              
2              9              
2              6              
4              2              
1              7              
0              5              
13             11             
4              3              
5              6              
-              2              
-              9              
-              8              
-              9              
-              11             
-              -              
