Group1         Group2         
19             35             
23             34             
18             31             
13             34             
20             42             
16             30             
20             32             
17             32             
19             34             
22             32             
20             34             
12             32             
12             33             
32             31             
16             16             
17             33             
25             32             
24             38             
18             30             
25             32             
21             25             
14             23             
24             31             
21             31             
20             29             
26             36             
15             28             
24             28             
12             31             
29             30             
26             24             
9              29             
19             27             
19             29             
22             25             
12             23             
15             35             
36             23             
23             33             
18             32             
9              20             
33             29             
35             29             
19             32             
15             10             
24             41             
18             34             
25             28             
29             25             
33             27             
24             29             
23             33             
23             39             
17             32             
19             35             
26             25             
19             36             
50             29             
44             37             
22             34             
21             37             
20             32             
34             34             
24             28             
25             28             
13             13             
22             30             
25             22             
18             28             
24             19             
24             40             
25             40             
24             40             
22             29             
18             38             
17             7              
21             11             
34             13             
24             11             
12             24             
23             21             
14             21             
27             18             
33             19             
21             16             
20             20             
26             31             
17             18             
25             17             
15             15             
24             28             
20             20             
20             15             
28             18             
19             18             
19             21             
41             32             
39             19             
33             30             
31             25             
25             21             
29             20             
20             20             
37             13             
19             12             
17             13             
31             17             
30             8              
28             16             
30             16             
30             12             
25             18             
30             17             
27             21             
25             17             
25             17             
28             18             
28             17             
32             10             
30             24             
24             29             
28             22             
25             15             
23             18             
21             18             
37             21             
39             19             
27             20             
27             15             
20             21             
27             27             
38             22             
-              21             
-              25             
-              32             
-              15             
-              23             
-              -              
