Group1         Group2         
4              6              
11             6              
5              6              
5              6              
6              6              
7              6              
3              6              
5              6              
3              6              
3              6              
4              6              
3              6              
3              6              
11             6              
5              6              
4              6              
10             11             
8              6              
4              6              
7              6              
3              7              
3              6              
8              6              
9              6              
5              6              
9              6              
3              6              
9              6              
4              6              
9              6              
9              5              
0              6              
7              6              
4              6              
7              6              
3              6              
7              6              
15             6              
15             6              
7              6              
3              6              
15             6              
12             6              
6              6              
3              5              
3              6              
3              6              
6              2              
4              9              
6              3              
6              6              
7              6              
5              7              
4              9              
4              11             
12             6              
3              6              
19             6              
6              6              
10             6              
12             6              
6              6              
12             15             
7              6              
8              11             
1              5              
9              10             
9              6              
2              11             
12             6              
3              9              
10             7              
12             12             
1              6              
6              13             
0              6              
0              2              
3              4              
6              5              
2              3              
7              7              
4              6              
10             5              
14             4              
0              10             
0              4              
8              10             
0              9              
0              4              
2              9              
0              18             
2              5              
4              6              
2              6              
6              12             
3              9              
6              6              
6              4              
6              9              
6              3              
4              3              
3              3              
3              5              
6              0              
7              0              
2              0              
13             0              
12             0              
13             0              
14             0              
15             0              
11             0              
15             0              
13             0              
9              0              
9              0              
10             0              
16             0              
14             0              
12             3              
11             6              
15             5              
13             3              
10             4              
10             4              
9              5              
9              4              
9              5              
9              5              
6              6              
16             6              
27             6              
-              8              
-              6              
-              4              
-              6              
-              19             
-              -              
