Group1         Group2         
8              3              
0              3              
7              0              
2              8              
6              7              
8              7              
0              8              
9              7              
0              9              
0              7              
1              6              
6              11             
8              4              
16             7              
2              4              
8              4              
0              6              
5              8              
2              6              
6              6              
0              4              
5              3              
15             0              
15             5              
0              9              
11             6              
0              9              
12             9              
11             9              
11             9              
7              2              
8              8              
9              9              
0              8              
0              9              
3              0              
7              8              
18             0              
15             6              
12             6              
9              6              
19             2              
15             9              
6              12             
0              5              
0              5              
0              2              
0              0              
3              5              
13             9              
6              3              
9              3              
0              9              
0              5              
0              6              
0              0              
0              0              
2              0              
3              11             
3              14             
2              11             
0              1              
0              8              
0              10             
1              3              
3              0              
0              6              
7              0              
0              3              
0              0              
0              11             
0              10             
2              11             
1              4              
0              4              
0              18             
0              18             
1              18             
3              12             
0              21             
1              6              
0              9              
1              9              
4              6              
0              6              
0              16             
3              3              
0              6              
0              7              
0              6              
1              7              
0              6              
0              4              
0              6              
0              6              
0              6              
0              5              
0              7              
0              7              
0              3              
1              3              
0              5              
0              5              
4              3              
0              2              
0              0              
2              3              
3              4              
3              5              
3              4              
4              3              
3              1              
3              3              
3              3              
4              3              
2              2              
8              3              
2              4              
1              1              
0              8              
0              5              
0              3              
2              3              
0              3              
0              3              
12             4              
13             5              
19             4              
17             2              
0              3              
0              3              
0              5              
-              1              
-              3              
-              3              
-              1              
-              12             
-              -              
