Group1         Group2         
21             30             
6              9              
17             24             
19             12             
26             9              
24             9              
6              8              
22             9              
6              10             
6              9              
4              9              
19             8              
22             6              
24             9              
9              16             
27             6              
8              6              
24             10             
15             8              
24             10             
9              9              
9              6              
22             3              
30             7              
16             12             
23             9              
12             12             
30             12             
35             12             
27             12             
24             5              
20             8              
9              9              
13             11             
30             12             
19             9              
17             10             
33             3              
32             9              
22             9              
18             9              
39             5              
27             12             
21             13             
12             22             
15             40             
12             16             
12             4              
16             7              
27             17             
18             9              
29             6              
5              3              
3              18             
3              16             
21             0              
20             5              
17             3              
17             27             
17             23             
16             27             
21             3              
10             20             
14             13             
14             7              
17             4              
6              11             
18             1              
11             11             
24             1              
8              14             
17             6              
23             9              
16             6              
27             10             
19             6              
9              5              
11             4              
33             8              
14             3              
20             2              
15             3              
8              5              
21             2              
22             6              
6              12             
25             1              
11             9              
8              6              
10             6              
13             9              
5              3              
14             9              
1              5              
12             3              
13             3              
13             1              
26             0              
0              10             
25             13             
17             6              
6              8              
11             6              
18             10             
21             10             
12             9              
5              9              
5              11             
5              12             
4              10             
1              7              
3              7              
4              7              
6              10             
2              8              
2              6              
11             9              
6              13             
17             1              
11             29             
9              17             
11             20             
11             21             
8              19             
2              23             
8              23             
6              19             
16             23             
14             23             
7              25             
12             38             
13             26             
-              28             
-              18             
-              30             
-              4              
-              3              
-              -              
