Group1         Group2         
26             92             
6              79             
18             78             
25             77             
16             71             
15             75             
42             77             
15             68             
41             76             
36             72             
46             71             
23             72             
20             70             
15             69             
13             64             
18             66             
15             82             
21             68             
18             68             
14             71             
18             73             
27             69             
16             69             
11             57             
18             81             
18             67             
26             83             
20             76             
23             74             
14             83             
17             58             
16             93             
25             88             
19             84             
12             88             
23             57             
18             74             
9              90             
12             75             
19             86             
15             87             
9              75             
9              76             
15             88             
12             77             
21             49             
18             73             
29             52             
26             58             
31             68             
38             76             
23             82             
10             79             
12             86             
15             79             
11             69             
16             74             
17             83             
22             83             
17             76             
16             83             
13             68             
18             61             
9              79             
14             66             
15             60             
14             55             
22             63             
38             65             
25             57             
36             54             
24             52             
22             72             
33             73             
15             53             
19             70             
35             61             
27             65             
24             67             
24             54             
20             33             
21             50             
31             37             
26             29             
34             56             
18             61             
20             44             
32             58             
35             55             
37             36             
31             58             
39             39             
29             60             
28             58             
14             48             
27             27             
17             62             
14             40             
24             52             
21             33             
20             36             
37             34             
22             45             
23             42             
20             45             
21             43             
32             44             
33             40             
28             38             
32             45             
24             39             
20             36             
31             39             
27             32             
26             45             
28             40             
20             44             
15             46             
20             39             
19             40             
25             46             
29             38             
20             32             
29             41             
51             42             
27             34             
22             45             
39             34             
39             32             
4              36             
13             43             
12             40             
-              42             
-              36             
-              36             
-              59             
-              56             
-              -              
