Group1         Group2         
0              3              
0              0              
0              0              
0              1              
0              1              
0              1              
0              3              
0              1              
0              2              
0              1              
0              1              
0              6              
0              1              
0              1              
0              1              
0              1              
0              6              
0              1              
0              1              
0              0              
0              1              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
1              0              
0              1              
0              3              
0              0              
0              0              
0              0              
0              1              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
0              0              
0              1              
0              0              
0              0              
0              0              
0              3              
0              3              
0              0              
0              0              
0              9              
0              3              
0              3              
0              0              
0              0              
2              0              
0              2              
3              3              
2              2              
0              1              
0              0              
0              0              
0              0              
0              0              
0              1              
7              0              
0              0              
0              0              
0              6              
0              6              
0              5              
0              1              
0              0              
0              18             
0              18             
0              18             
0              12             
0              18             
0              6              
0              9              
1              9              
0              6              
0              6              
0              7              
0              3              
0              6              
0              7              
0              6              
0              7              
0              6              
0              4              
0              6              
0              6              
0              6              
0              5              
0              7              
0              7              
0              0              
0              0              
0              0              
0              1              
2              0              
0              0              
0              0              
2              1              
2              0              
2              0              
2              0              
3              2              
0              0              
2              0              
2              0              
2              0              
2              0              
6              0              
0              0              
1              0              
0              1              
0              1              
0              1              
2              1              
0              1              
0              1              
6              0              
7              3              
14             2              
14             1              
0              0              
0              0              
0              2              
-              1              
-              1              
-              3              
-              0              
-              12             
-              -              
