Avian          Bat            Canine         Equine         Human          Seal           Swine          
1731           1856           1651           1803           1978           1790           1887           
1240           1779           1670           1667           1885           1770           1918           
1181           1913           1670           1734           1889           1640           1912           
1281           -              1588           1653           1930           1589           1589           
1265           -              -              1534           1900           1586           1685           
1629           -              -              1594           2005           1654           1656           
1638           -              -              -              1945           1679           1649           
1577           -              -              -              1874           1476           1725           
1688           -              -              -              1921           1551           1779           
1713           -              -              -              1893           1459           -              
1566           -              -              -              1938           1403           -              
1723           -              -              -              1943           1549           -              
1735           -              -              -              1851           1448           -              
1768           -              -              -              1556           1531           -              
1737           -              -              -              1851           1464           -              
1756           -              -              -              1840           1381           -              
1708           -              -              -              1997           1387           -              
1691           -              -              -              2074           1468           -              
1861           -              -              -              1855           -              -              
1744           -              -              -              1818           -              -              
1751           -              -              -              1768           -              -              
1819           -              -              -              1715           -              -              
1823           -              -              -              1852           -              -              
1786           -              -              -              1675           -              -              
1791           -              -              -              1834           -              -              
1710           -              -              -              1859           -              -              
1808           -              -              -              1671           -              -              
1715           -              -              -              1886           -              -              
1473           -              -              -              1876           -              -              
1738           -              -              -              1790           -              -              
1799           -              -              -              1903           -              -              
1660           -              -              -              1873           -              -              
1800           -              -              -              1835           -              -              
1809           -              -              -              1822           -              -              
1627           -              -              -              1919           -              -              
1695           -              -              -              1965           -              -              
1878           -              -              -              1915           -              -              
1925           -              -              -              1400           -              -              
1967           -              -              -              1380           -              -              
1840           -              -              -              1779           -              -              
1869           -              -              -              1539           -              -              
1743           -              -              -              1392           -              -              
1906           -              -              -              1393           -              -              
1465           -              -              -              1661           -              -              
1554           -              -              -              1700           -              -              
1412           -              -              -              1617           -              -              
1347           -              -              -              1643           -              -              
1590           -              -              -              1749           -              -              
1459           -              -              -              1576           -              -              
1918           -              -              -              1742           -              -              
1838           -              -              -              1601           -              -              
1773           -              -              -              1903           -              -              
1610           -              -              -              1993           -              -              
1647           -              -              -              1664           -              -              
1877           -              -              -              1826           -              -              
