Avian          Bat            Canine         Equine         Human          Seal           Swine          
238            209            265            350            245            306            212            
136            237            314            327            215            315            234            
141            249            290            315            234            218            214            
130            -              265            294            231            208            193            
130            -              -              262            251            215            243            
222            -              -              304            252            213            296            
224            -              -              -              200            237            295            
206            -              -              -              238            203            313            
252            -              -              -              203            198            298            
260            -              -              -              188            203            -              
231            -              -              -              164            196            -              
210            -              -              -              239            204            -              
326            -              -              -              217            199            -              
297            -              -              -              218            204            -              
326            -              -              -              208            188            -              
301            -              -              -              250            208            -              
287            -              -              -              185            205            -              
314            -              -              -              240            62             -              
225            -              -              -              204            -              -              
154            -              -              -              195            -              -              
218            -              -              -              180            -              -              
227            -              -              -              204            -              -              
220            -              -              -              210            -              -              
206            -              -              -              228            -              -              
155            -              -              -              198            -              -              
212            -              -              -              213            -              -              
248            -              -              -              179            -              -              
209            -              -              -              255            -              -              
166            -              -              -              230            -              -              
143            -              -              -              223            -              -              
231            -              -              -              235            -              -              
207            -              -              -              223            -              -              
216            -              -              -              169            -              -              
196            -              -              -              178            -              -              
198            -              -              -              210            -              -              
199            -              -              -              232            -              -              
211            -              -              -              201            -              -              
179            -              -              -              175            -              -              
185            -              -              -              187            -              -              
186            -              -              -              222            -              -              
204            -              -              -              169            -              -              
180            -              -              -              152            -              -              
184            -              -              -              160            -              -              
208            -              -              -              246            -              -              
223            -              -              -              254            -              -              
197            -              -              -              188            -              -              
192            -              -              -              248            -              -              
247            -              -              -              252            -              -              
209            -              -              -              217            -              -              
141            -              -              -              285            -              -              
161            -              -              -              162            -              -              
154            -              -              -              313            -              -              
210            -              -              -              347            -              -              
175            -              -              -              317            -              -              
204            -              -              -              338            -              -              
199            -              -              -              329            -              -              
-              -              -              -              323            -              -              
-              -              -              -              320            -              -              
-              -              -              -              323            -              -              
-              -              -              -              341            -              -              
-              -              -              -              320            -              -              
-              -              -              -              325            -              -              
-              -              -              -              286            -              -              
-              -              -              -              323            -              -              
-              -              -              -              322            -              -              
-              -              -              -              267            -              -              
-              -              -              -              319            -              -              
-              -              -              -              304            -              -              
-              -              -              -              322            -              -              
-              -              -              -              320            -              -              
-              -              -              -              247            -              -              
-              -              -              -              316            -              -              
-              -              -              -              329            -              -              
-              -              -              -              306            -              -              
-              -              -              -              312            -              -              
-              -              -              -              330            -              -              
-              -              -              -              325            -              -              
-              -              -              -              335            -              -              
-              -              -              -              330            -              -              
-              -              -              -              343            -              -              
-              -              -              -              333            -              -              
-              -              -              -              247            -              -              
-              -              -              -              327            -              -              
-              -              -              -              319            -              -              
-              -              -              -              334            -              -              
-              -              -              -              337            -              -              
-              -              -              -              322            -              -              
-              -              -              -              323            -              -              
-              -              -              -              307            -              -              
-              -              -              -              332            -              -              
-              -              -              -              351            -              -              
-              -              -              -              313            -              -              
-              -              -              -              301            -              -              
-              -              -              -              331            -              -              
-              -              -              -              350            -              -              
-              -              -              -              270            -              -              
-              -              -              -              300            -              -              
-              -              -              -              257            -              -              
-              -              -              -              225            -              -              
-              -              -              -              181            -              -              
-              -              -              -              234            -              -              
-              -              -              -              305            -              -              
-              -              -              -              330            -              -              
-              -              -              -              285            -              -              
-              -              -              -              250            -              -              
-              -              -              -              257            -              -              
-              -              -              -              231            -              -              
-              -              -              -              246            -              -              
-              -              -              -              266            -              -              
-              -              -              -              234            -              -              
-              -              -              -              237            -              -              
-              -              -              -              222            -              -              
-              -              -              -              230            -              -              
-              -              -              -              220            -              -              
-              -              -              -              259            -              -              
-              -              -              -              207            -              -              
-              -              -              -              236            -              -              
-              -              -              -              215            -              -              
-              -              -              -              173            -              -              
-              -              -              -              210            -              -              
-              -              -              -              231            -              -              
-              -              -              -              205            -              -              
-              -              -              -              215            -              -              
-              -              -              -              250            -              -              
-              -              -              -              228            -              -              
-              -              -              -              231            -              -              
-              -              -              -              223            -              -              
-              -              -              -              221            -              -              
-              -              -              -              206            -              -              
-              -              -              -              210            -              -              
-              -              -              -              207            -              -              
-              -              -              -              219            -              -              
-              -              -              -              196            -              -              
-              -              -              -              204            -              -              
-              -              -              -              204            -              -              
-              -              -              -              213            -              -              
-              -              -              -              190            -              -              
-              -              -              -              194            -              -              
-              -              -              -              197            -              -              
-              -              -              -              57             -              -              
-              -              -              -              143            -              -              
-              -              -              -              177            -              -              
-              -              -              -              167            -              -              
-              -              -              -              162            -              -              
-              -              -              -              167            -              -              
-              -              -              -              232            -              -              
-              -              -              -              163            -              -              
-              -              -              -              168            -              -              
-              -              -              -              151            -              -              
-              -              -              -              171            -              -              
-              -              -              -              184            -              -              
-              -              -              -              151            -              -              
-              -              -              -              208            -              -              
-              -              -              -              173            -              -              
-              -              -              -              220            -              -              
-              -              -              -              161            -              -              
-              -              -              -              158            -              -              
-              -              -              -              162            -              -              
-              -              -              -              209            -              -              
-              -              -              -              225            -              -              
-              -              -              -              233            -              -              
-              -              -              -              235            -              -              
-              -              -              -              239            -              -              
-              -              -              -              252            -              -              
-              -              -              -              208            -              -              
-              -              -              -              254            -              -              
-              -              -              -              216            -              -              
-              -              -              -              238            -              -              
-              -              -              -              242            -              -              
-              -              -              -              215            -              -              
-              -              -              -              248            -              -              
-              -              -              -              222            -              -              
-              -              -              -              201            -              -              
-              -              -              -              -              
